 ,X,Y,Red,Green,Blue
1,41,23,97,97,97
2,42,23,115,115,115
3,43,23,125,125,125
4,44,23,129,129,129
5,45,23,126,126,126
6,46,23,128,128,128
7,47,23,134,134,134
8,48,23,132,132,132
9,49,23,133,133,133
10,50,23,134,134,134
11,51,23,134,134,134
12,52,23,135,135,135
13,53,23,135,135,135
14,54,23,133,133,133
15,55,23,112,112,112
16,56,23,106,106,106
17,40,24,90,90,90
18,41,24,111,111,111
19,42,24,137,137,137
20,43,24,139,139,139
21,44,24,147,147,147
22,45,24,143,143,143
23,46,24,148,148,148
24,47,24,151,151,151
25,48,24,150,150,150
26,49,24,154,154,154
27,50,24,152,152,152
28,51,24,151,151,151
29,52,24,150,150,150
30,53,24,153,153,153
31,54,24,139,139,139
32,55,24,108,108,108
33,39,25,90,90,90
34,40,25,102,102,102
35,41,25,135,135,135
36,42,25,146,146,146
37,43,25,147,147,147
38,44,25,149,149,149
39,45,25,151,151,151
40,46,25,157,157,157
41,47,25,158,158,158
42,48,25,159,159,159
43,49,25,157,157,157
44,50,25,158,158,158
45,51,25,159,159,159
46,52,25,158,158,158
47,53,25,153,153,153
48,54,25,121,121,121
49,55,25,106,106,106
50,38,26,85,85,85
51,39,26,98,98,98
52,40,26,130,130,130
53,41,26,148,148,148
54,42,26,147,147,147
55,43,26,151,151,151
56,44,26,155,155,155
57,45,26,158,158,158
58,46,26,159,159,159
59,47,26,163,163,163
60,48,26,162,162,162
61,49,26,164,164,164
62,50,26,163,163,163
63,51,26,164,164,164
64,52,26,165,165,165
65,53,26,142,142,142
66,54,26,106,106,106
67,55,26,110,110,110
68,37,27,88,88,88
69,38,27,89,89,89
70,39,27,124,124,124
71,40,27,143,143,143
72,41,27,150,150,150
73,42,27,150,150,150
74,43,27,153,153,153
75,44,27,155,155,155
76,45,27,157,157,157
77,46,27,162,162,162
78,47,27,164,164,164
79,48,27,164,164,164
80,49,27,164,164,164
81,50,27,162,162,162
82,51,27,165,165,165
83,52,27,158,158,158
84,53,27,118,118,118
85,54,27,101,101,101
