 ,X,Y,Red,Green,Blue
1,150,73,162,162,162
2,151,73,144,144,144
3,152,73,139,139,139
4,153,73,136,136,136
5,154,73,135,135,135
6,155,73,139,139,139
7,156,73,137,137,137
8,157,73,137,137,137
9,158,73,136,136,136
10,151,74,135,135,135
11,152,74,119,119,119
12,153,74,116,116,116
13,154,74,115,115,115
14,155,74,120,120,120
15,156,74,115,115,115
16,157,74,115,115,115
17,158,74,115,115,115
18,151,75,155,155,155
19,152,75,120,120,120
20,153,75,110,110,110
21,154,75,110,110,110
22,155,75,111,111,111
23,156,75,107,107,107
24,157,75,106,106,106
25,158,75,107,107,107
26,152,76,139,139,139
27,153,76,112,112,112
28,154,76,113,113,113
29,155,76,108,108,108
30,156,76,105,105,105
31,157,76,106,106,106
32,158,76,106,106,106
33,153,77,123,123,123
34,154,77,110,110,110
35,155,77,110,110,110
36,156,77,105,105,105
37,157,77,105,105,105
38,158,77,102,102,102
39,153,78,147,147,147
40,154,78,114,114,114
41,155,78,110,110,110
42,156,78,105,105,105
43,157,78,104,104,104
44,158,78,102,102,102
45,154,79,135,135,135
46,155,79,115,115,115
47,156,79,108,108,108
48,157,79,103,103,103
49,158,79,105,105,105
50,154,80,161,161,161
51,155,80,125,125,125
52,156,80,109,109,109
53,157,80,104,104,104
54,158,80,105,105,105
55,155,81,146,146,146
56,156,81,112,112,112
57,157,81,105,105,105
58,158,81,102,102,102
59,156,82,128,128,128
60,157,82,110,110,110
61,158,82,104,104,104
62,159,82,100,100,100
63,156,83,156,156,156
64,157,83,117,117,117
65,158,83,107,107,107
66,159,83,103,103,103
67,157,84,136,136,136
68,158,84,109,109,109
69,159,84,104,104,104
70,157,85,161,161,161
71,158,85,122,122,122
72,159,85,103,103,103
73,158,86,148,148,148
74,159,86,111,111,111
75,159,87,132,132,132
76,159,88,155,155,155
