 ,X,Y,Red,Green,Blue
1,77,39,171,171,171
2,78,39,185,185,185
3,79,39,203,203,203
4,80,39,201,201,201
5,81,39,185,185,185
6,82,39,178,178,178
7,83,39,178,178,178
8,84,39,187,187,187
9,85,39,188,188,188
10,86,39,193,193,193
11,87,39,200,200,200
12,88,39,189,189,189
13,89,39,179,179,179
14,90,39,172,172,172
15,91,39,172,172,172
16,92,39,177,177,177
17,93,39,186,186,186
18,94,39,199,199,199
19,95,39,201,201,201
20,96,39,190,190,190
21,97,39,187,187,187
22,98,39,184,184,184
23,99,39,187,187,187
24,77,40,147,147,147
25,78,40,138,138,138
26,79,40,169,169,169
27,80,40,213,213,213
28,81,40,215,215,215
29,82,40,201,201,201
30,83,40,193,193,193
31,84,40,199,199,199
32,85,40,196,196,196
33,86,40,197,197,197
34,87,40,197,197,197
35,88,40,190,190,190
36,89,40,185,185,185
37,90,40,180,180,180
38,91,40,177,177,177
39,92,40,178,178,178
40,93,40,180,180,180
41,94,40,185,185,185
42,95,40,186,186,186
43,96,40,181,181,181
44,97,40,170,170,170
45,98,40,151,151,151
46,99,40,148,148,148
47,100,40,155,155,155
48,77,41,140,140,140
49,78,41,130,130,130
50,79,41,156,156,156
51,80,41,214,214,214
52,81,41,227,227,227
53,82,41,229,229,229
54,83,41,227,227,227
55,84,41,228,228,228
56,85,41,226,226,226
57,86,41,226,226,226
58,87,41,226,226,226
59,88,41,226,226,226
60,89,41,224,224,224
61,90,41,225,225,225
62,91,41,224,224,224
63,92,41,224,224,224
64,93,41,224,224,224
65,94,41,226,226,226
66,95,41,225,225,225
67,96,41,229,229,229
68,97,41,209,209,209
69,98,41,157,157,157
70,99,41,143,143,143
71,100,41,144,144,144
72,77,42,139,139,139
73,78,42,133,133,133
74,79,42,168,168,168
75,80,42,215,215,215
76,81,42,231,231,231
77,82,42,232,232,232
78,83,42,234,234,234
79,84,42,234,234,234
80,85,42,233,233,233
81,86,42,232,232,232
82,87,42,232,232,232
83,88,42,233,233,233
84,89,42,231,231,231
85,90,42,232,232,232
86,91,42,231,231,231
87,92,42,230,230,230
88,93,42,230,230,230
89,94,42,229,229,229
90,95,42,230,230,230
91,96,42,231,231,231
92,97,42,222,222,222
93,98,42,169,169,169
94,99,42,139,139,139
95,100,42,136,136,136
96,101,42,151,151,151
97,77,43,142,142,142
98,78,43,142,142,142
99,79,43,183,183,183
100,80,43,212,212,212
101,81,43,232,232,232
102,82,43,234,234,234
103,83,43,235,235,235
104,84,43,237,237,237
105,85,43,242,242,242
106,86,43,240,240,240
107,87,43,241,241,241
108,88,43,245,245,245
109,89,43,241,241,241
110,90,43,238,238,238
111,91,43,235,235,235
112,92,43,235,235,235
113,93,43,232,232,232
114,94,43,234,234,234
115,95,43,234,234,234
116,96,43,236,236,236
117,97,43,231,231,231
118,98,43,196,196,196
119,99,43,150,150,150
120,100,43,143,143,143
121,101,43,147,147,147
122,77,44,138,138,138
123,78,44,142,142,142
124,79,44,180,180,180
125,80,44,201,201,201
126,81,44,227,227,227
127,82,44,231,231,231
128,83,44,232,232,232
129,84,44,237,237,237
130,85,44,244,244,244
131,86,44,242,242,242
132,87,44,243,243,243
133,88,44,244,244,244
134,89,44,241,241,241
135,90,44,237,237,237
136,91,44,233,233,233
137,92,44,231,231,231
138,93,44,233,233,233
139,94,44,234,234,234
140,95,44,235,235,235
141,96,44,232,232,232
142,97,44,235,235,235
143,98,44,219,219,219
144,99,44,163,163,163
145,100,44,146,146,146
146,101,44,148,148,148
147,77,45,151,151,151
148,78,45,145,145,145
149,79,45,167,167,167
150,80,45,184,184,184
151,81,45,218,218,218
152,82,45,225,225,225
153,83,45,229,229,229
154,84,45,232,232,232
155,85,45,236,236,236
156,86,45,238,238,238
157,87,45,240,240,240
158,88,45,241,241,241
159,89,45,238,238,238
160,90,45,237,237,237
161,91,45,238,238,238
162,92,45,232,232,232
163,93,45,232,232,232
164,94,45,232,232,232
165,95,45,233,233,233
166,96,45,234,234,234
167,97,45,235,235,235
168,98,45,229,229,229
169,99,45,179,179,179
170,100,45,145,145,145
