 ,X,Y,Red,Green,Blue
1,77,19,137,137,137
2,78,19,120,120,120
3,79,19,115,115,115
4,80,19,103,103,103
5,81,19,106,106,106
6,82,19,107,107,107
7,83,19,112,112,112
8,84,19,131,131,131
9,85,19,132,132,132
10,86,19,125,125,125
11,87,19,122,122,122
12,88,19,121,121,121
13,89,19,122,122,122
14,90,19,125,125,125
15,91,19,123,123,123
16,92,19,126,126,126
17,77,20,138,138,138
18,78,20,118,118,118
19,79,20,114,114,114
20,80,20,105,105,105
21,81,20,104,104,104
22,82,20,107,107,107
23,83,20,108,108,108
24,84,20,122,122,122
25,85,20,130,130,130
26,86,20,125,125,125
27,87,20,120,120,120
28,88,20,117,117,117
29,89,20,120,120,120
30,90,20,121,121,121
31,91,20,120,120,120
32,92,20,118,118,118
33,93,20,126,126,126
34,77,21,140,140,140
35,78,21,122,122,122
36,79,21,123,123,123
37,80,21,117,117,117
38,81,21,117,117,117
39,82,21,113,113,113
40,83,21,116,116,116
41,84,21,128,128,128
42,85,21,132,132,132
43,86,21,129,129,129
44,87,21,123,123,123
45,88,21,122,122,122
46,89,21,122,122,122
47,90,21,124,124,124
48,91,21,120,120,120
49,92,21,120,120,120
50,93,21,119,119,119
