 ,X,Y,Red,Green,Blue
1,15,29,83,83,83
2,16,29,64,64,64
3,17,29,43,43,43
4,18,29,40,40,40
5,19,29,40,40,40
6,20,29,43,43,43
7,21,29,48,48,48
8,22,29,50,50,50
9,23,29,54,54,54
10,24,29,52,52,52
11,25,29,53,53,53
12,26,29,59,59,59
13,27,29,64,64,64
14,28,29,65,65,65
15,29,29,64,64,64
16,30,29,69,69,69
17,31,29,68,68,68
18,32,29,80,80,80
19,14,30,80,80,80
20,15,30,63,63,63
21,16,30,38,38,38
22,17,30,27,27,27
23,18,30,30,30,30
24,19,30,30,30,30
25,20,30,33,33,33
26,21,30,38,38,38
27,22,30,39,39,39
28,23,30,42,42,42
29,24,30,45,45,45
30,25,30,48,48,48
31,26,30,56,56,56
32,27,30,58,58,58
33,28,30,55,55,55
34,29,30,58,58,58
35,30,30,59,59,59
36,31,30,70,70,70
37,13,31,73,73,73
38,14,31,50,50,50
39,15,31,37,37,37
40,16,31,29,29,29
41,17,31,23,23,23
42,18,31,28,28,28
43,19,31,26,26,26
44,20,31,30,30,30
45,21,31,36,36,36
46,22,31,39,39,39
47,23,31,44,44,44
48,24,31,47,47,47
49,25,31,49,49,49
50,26,31,56,56,56
51,27,31,60,60,60
52,28,31,61,61,61
53,29,31,60,60,60
54,30,31,70,70,70
55,12,32,68,68,68
56,13,32,45,45,45
57,14,32,33,33,33
58,15,32,28,28,28
59,16,32,26,26,26
60,17,32,25,25,25
61,18,32,25,25,25
62,19,32,27,27,27
63,20,32,30,30,30
64,21,32,37,37,37
65,22,32,40,40,40
66,23,32,44,44,44
67,24,32,47,47,47
68,25,32,52,52,52
69,26,32,56,56,56
70,27,32,61,61,61
71,28,32,62,62,62
72,29,32,72,72,72
73,11,33,59,59,59
74,12,33,39,39,39
75,13,33,35,35,35
76,14,33,30,30,30
77,15,33,26,26,26
78,16,33,24,24,24
79,17,33,23,23,23
80,18,33,26,26,26
81,19,33,27,27,27
82,20,33,33,33,33
83,21,33,36,36,36
84,22,33,40,40,40
85,23,33,47,47,47
86,24,33,49,49,49
87,25,33,54,54,54
88,26,33,61,61,61
89,27,33,63,63,63
90,28,33,74,74,74
91,10,34,58,58,58
92,11,34,41,41,41
93,12,34,34,34,34
94,13,34,29,29,29
95,14,34,31,31,31
96,15,34,26,26,26
97,16,34,21,21,21
98,17,34,23,23,23
99,18,34,26,26,26
100,19,34,28,28,28
101,20,34,32,32,32
102,21,34,39,39,39
103,22,34,45,45,45
104,23,34,50,50,50
105,24,34,49,49,49
106,25,34,58,58,58
107,26,34,61,61,61
108,27,34,70,70,70
109,9,35,60,60,60
110,10,35,48,48,48
111,11,35,37,37,37
112,12,35,32,32,32
113,13,35,29,29,29
114,14,35,33,33,33
115,15,35,30,30,30
116,16,35,30,30,30
117,17,35,29,29,29
118,18,35,34,34,34
119,19,35,35,35,35
120,20,35,38,38,38
121,21,35,39,39,39
122,22,35,48,48,48
123,23,35,51,51,51
124,24,35,55,55,55
125,25,35,57,57,57
126,26,35,71,71,71
