 ,X,Y,Red,Green,Blue
1,23,23,71,71,71
2,24,23,53,53,53
3,25,23,44,44,44
4,26,23,47,47,47
5,27,23,46,46,46
6,28,23,55,55,55
7,29,23,65,65,65
8,30,23,73,73,73
9,31,23,71,71,71
10,32,23,71,71,71
11,33,23,72,72,72
12,34,23,74,74,74
13,35,23,72,72,72
14,36,23,73,73,73
15,37,23,82,82,82
16,22,24,64,64,64
17,23,24,51,51,51
18,24,24,49,49,49
19,25,24,38,38,38
20,26,24,37,37,37
21,27,24,39,39,39
22,28,24,47,47,47
23,29,24,59,59,59
24,30,24,64,64,64
25,31,24,65,65,65
26,32,24,64,64,64
27,33,24,65,65,65
28,34,24,66,66,66
29,35,24,66,66,66
30,36,24,74,74,74
31,21,25,58,58,58
32,22,25,46,46,46
33,23,25,46,46,46
34,24,25,45,45,45
35,25,25,37,37,37
36,26,25,31,31,31
37,27,25,34,34,34
38,28,25,48,48,48
39,29,25,59,59,59
40,30,25,59,59,59
41,31,25,62,62,62
42,32,25,63,63,63
43,33,25,62,62,62
44,34,25,63,63,63
45,35,25,68,68,68
46,20,26,49,49,49
47,21,26,44,44,44
48,22,26,41,41,41
49,23,26,42,42,42
50,24,26,40,40,40
51,25,26,34,34,34
52,26,26,33,33,33
53,27,26,35,35,35
54,28,26,51,51,51
55,29,26,55,55,55
56,30,26,59,59,59
57,31,26,58,58,58
58,32,26,61,61,61
59,33,26,61,61,61
60,34,26,65,65,65
61,19,27,50,50,50
62,20,27,45,45,45
63,21,27,46,46,46
64,22,27,47,47,47
65,23,27,48,48,48
66,24,27,47,47,47
67,25,27,44,44,44
68,26,27,41,41,41
69,27,27,46,46,46
70,28,27,59,59,59
71,29,27,62,62,62
72,30,27,64,64,64
73,31,27,66,66,66
74,32,27,63,63,63
75,33,27,63,63,63
