 ,X,Y,Red,Green,Blue
1,3,68,76,76,76
2,4,68,64,64,64
3,5,68,66,66,66
4,6,68,63,63,63
5,7,68,66,66,66
6,8,68,69,69,69
7,9,68,72,72,72
8,10,68,78,78,78
9,11,68,78,78,78
10,12,68,80,80,80
11,13,68,81,81,81
12,14,68,85,85,85
13,15,68,90,90,90
14,16,68,92,92,92
15,17,68,99,99,99
16,18,68,105,105,105
17,2,69,85,85,85
18,3,69,57,57,57
19,4,69,49,49,49
20,5,69,49,49,49
21,6,69,55,55,55
22,7,69,58,58,58
23,8,69,61,61,61
24,9,69,61,61,61
25,10,69,63,63,63
26,11,69,65,65,65
27,12,69,61,61,61
28,13,69,64,64,64
29,14,69,62,62,62
30,15,69,64,64,64
31,16,69,65,65,65
32,17,69,70,70,70
33,18,69,71,71,71
34,19,69,68,68,68
35,20,69,65,65,65
36,21,69,67,67,67
37,22,69,66,66,66
38,23,69,65,65,65
39,24,69,69,69,69
40,25,69,69,69,69
41,26,69,71,71,71
42,27,69,75,75,75
43,28,69,78,78,78
44,29,69,80,80,80
45,30,69,87,87,87
46,31,69,92,92,92
47,32,69,92,92,92
48,33,69,83,83,83
49,34,69,93,93,93
50,2,70,62,62,62
51,3,70,47,47,47
52,4,70,44,44,44
53,5,70,48,48,48
54,6,70,56,56,56
55,7,70,58,58,58
56,8,70,58,58,58
57,9,70,58,58,58
58,10,70,60,60,60
59,11,70,62,62,62
60,12,70,59,59,59
61,13,70,61,61,61
62,14,70,61,61,61
63,15,70,60,60,60
64,16,70,61,61,61
65,17,70,66,66,66
66,18,70,62,62,62
67,19,70,60,60,60
68,20,70,61,61,61
69,21,70,59,59,59
70,22,70,58,58,58
71,23,70,59,59,59
72,24,70,61,61,61
73,25,70,64,64,64
74,26,70,63,63,63
75,27,70,62,62,62
76,28,70,64,64,64
77,29,70,61,61,61
78,30,70,70,70,70
79,31,70,72,72,72
80,32,70,72,72,72
81,33,70,69,69,69
82,1,71,78,78,78
83,2,71,59,59,59
84,3,71,50,50,50
85,4,71,49,49,49
86,5,71,53,53,53
87,6,71,58,58,58
88,7,71,58,58,58
89,8,71,59,59,59
90,9,71,58,58,58
91,10,71,62,62,62
92,11,71,59,59,59
93,12,71,61,61,61
94,13,71,61,61,61
95,14,71,64,64,64
96,15,71,61,61,61
97,16,71,61,61,61
98,17,71,58,58,58
99,18,71,60,60,60
100,19,71,59,59,59
101,20,71,58,58,58
102,21,71,57,57,57
103,22,71,56,56,56
104,23,71,56,56,56
105,24,71,60,60,60
106,25,71,62,62,62
107,26,71,61,61,61
108,27,71,59,59,59
109,28,71,59,59,59
110,29,71,57,57,57
111,30,71,65,65,65
112,31,71,70,70,70
113,32,71,68,68,68
114,33,71,71,71,71
115,0,72,90,90,90
116,1,72,69,69,69
117,2,72,59,59,59
118,3,72,56,56,56
119,4,72,55,55,55
120,5,72,56,56,56
121,6,72,59,59,59
122,7,72,57,57,57
123,8,72,56,56,56
124,9,72,61,61,61
125,10,72,60,60,60
126,11,72,62,62,62
127,12,72,58,58,58
128,13,72,61,61,61
129,14,72,61,61,61
130,15,72,61,61,61
131,16,72,60,60,60
132,17,72,57,57,57
133,18,72,58,58,58
134,19,72,61,61,61
135,20,72,59,59,59
136,21,72,58,58,58
137,22,72,59,59,59
138,23,72,58,58,58
139,24,72,61,61,61
140,25,72,64,64,64
141,26,72,61,61,61
142,27,72,60,60,60
143,28,72,64,64,64
144,29,72,58,58,58
145,30,72,65,65,65
146,31,72,71,71,71
147,32,72,71,71,71
148,0,73,73,73,73
149,1,73,61,61,61
150,2,73,56,56,56
151,3,73,57,57,57
152,4,73,58,58,58
153,5,73,57,57,57
154,6,73,59,59,59
155,7,73,58,58,58
156,8,73,62,62,62
157,9,73,62,62,62
158,10,73,64,64,64
159,11,73,61,61,61
160,12,73,59,59,59
161,13,73,58,58,58
162,14,73,63,63,63
163,15,73,61,61,61
164,16,73,60,60,60
165,17,73,56,56,56
166,18,73,55,55,55
167,19,73,57,57,57
168,20,73,57,57,57
169,21,73,56,56,56
170,22,73,56,56,56
171,23,73,56,56,56
172,24,73,60,60,60
173,25,73,61,61,61
174,26,73,62,62,62
175,27,73,60,60,60
176,28,73,60,60,60
177,29,73,59,59,59
178,30,73,66,66,66
179,31,73,72,72,72
180,32,73,73,73,73
181,0,74,59,59,59
182,1,74,51,51,51
183,2,74,52,52,52
184,3,74,57,57,57
185,4,74,56,56,56
186,5,74,58,58,58
187,6,74,58,58,58
188,7,74,59,59,59
189,8,74,59,59,59
190,9,74,61,61,61
191,10,74,61,61,61
192,11,74,61,61,61
193,12,74,60,60,60
194,13,74,60,60,60
195,14,74,60,60,60
196,15,74,58,58,58
197,16,74,56,56,56
198,17,74,56,56,56
199,18,74,57,57,57
200,19,74,59,59,59
201,20,74,57,57,57
202,21,74,56,56,56
203,22,74,56,56,56
204,23,74,55,55,55
205,24,74,59,59,59
206,25,74,58,58,58
207,26,74,58,58,58
208,27,74,58,58,58
209,28,74,59,59,59
210,29,74,56,56,56
211,30,74,66,66,66
212,31,74,72,72,72
213,32,74,78,78,78
214,0,75,51,51,51
215,1,75,47,47,47
216,2,75,53,53,53
217,3,75,57,57,57
218,4,75,57,57,57
219,5,75,57,57,57
220,6,75,59,59,59
221,7,75,61,61,61
222,8,75,59,59,59
223,9,75,58,58,58
224,10,75,61,61,61
225,11,75,60,60,60
226,12,75,56,56,56
227,13,75,58,58,58
228,14,75,58,58,58
229,15,75,57,57,57
230,16,75,58,58,58
231,17,75,56,56,56
232,18,75,59,59,59
233,19,75,59,59,59
234,20,75,61,61,61
235,21,75,56,56,56
236,22,75,58,58,58
237,23,75,57,57,57
238,24,75,60,60,60
239,25,75,59,59,59
240,26,75,61,61,61
241,27,75,61,61,61
242,28,75,61,61,61
243,29,75,61,61,61
244,30,75,65,65,65
245,31,75,73,73,73
246,0,76,50,50,50
247,1,76,51,51,51
248,2,76,56,56,56
249,3,76,56,56,56
250,4,76,60,60,60
251,5,76,56,56,56
252,6,76,57,57,57
253,7,76,59,59,59
254,8,76,61,61,61
255,9,76,59,59,59
256,10,76,60,60,60
257,11,76,60,60,60
258,12,76,57,57,57
259,13,76,56,56,56
260,14,76,57,57,57
261,15,76,57,57,57
262,16,76,58,58,58
263,17,76,56,56,56
264,18,76,57,57,57
265,19,76,59,59,59
266,20,76,58,58,58
267,21,76,55,55,55
268,22,76,58,58,58
269,23,76,56,56,56
270,24,76,62,62,62
271,25,76,58,58,58
272,26,76,60,60,60
273,27,76,59,59,59
274,28,76,58,58,58
275,29,76,59,59,59
276,30,76,65,65,65
277,31,76,72,72,72
278,0,77,53,53,53
279,1,77,53,53,53
280,2,77,60,60,60
281,3,77,62,62,62
282,4,77,59,59,59
283,5,77,59,59,59
284,6,77,57,57,57
285,7,77,61,61,61
286,8,77,63,63,63
287,9,77,59,59,59
288,10,77,62,62,62
289,11,77,61,61,61
290,12,77,58,58,58
291,13,77,57,57,57
292,14,77,56,56,56
293,15,77,59,59,59
294,16,77,59,59,59
295,17,77,57,57,57
296,18,77,59,59,59
297,19,77,63,63,63
298,20,77,58,58,58
299,21,77,58,58,58
300,22,77,61,61,61
301,23,77,58,58,58
302,24,77,62,62,62
303,25,77,59,59,59
304,26,77,59,59,59
305,27,77,59,59,59
306,28,77,60,60,60
307,29,77,57,57,57
308,30,77,60,60,60
309,0,78,54,54,54
310,1,78,57,57,57
311,2,78,61,61,61
312,3,78,61,61,61
313,4,78,62,62,62
314,5,78,59,59,59
315,6,78,59,59,59
316,7,78,61,61,61
317,8,78,61,61,61
318,9,78,61,61,61
319,10,78,65,65,65
320,11,78,65,65,65
321,12,78,60,60,60
322,13,78,56,56,56
323,14,78,55,55,55
324,15,78,59,59,59
325,16,78,60,60,60
326,17,78,61,61,61
327,18,78,64,64,64
328,19,78,61,61,61
329,20,78,61,61,61
330,21,78,60,60,60
331,22,78,61,61,61
332,23,78,65,65,65
333,24,78,68,68,68
334,25,78,63,63,63
335,26,78,62,62,62
336,27,78,63,63,63
337,28,78,61,61,61
338,29,78,62,62,62
339,30,78,65,65,65
340,0,79,60,60,60
341,1,79,60,60,60
342,2,79,63,63,63
343,3,79,60,60,60
344,4,79,59,59,59
345,5,79,58,58,58
346,6,79,58,58,58
347,7,79,62,62,62
