 ,X,Y,Red,Green,Blue
1,28,38,120,120,120
2,29,38,155,155,155
3,30,38,158,158,158
4,31,38,161,161,161
5,32,38,163,163,163
6,33,38,161,161,161
7,34,38,165,165,165
8,35,38,164,164,164
9,36,38,163,163,163
10,37,38,165,165,165
11,38,38,167,167,167
12,39,38,169,169,169
13,40,38,170,170,170
14,41,38,173,173,173
15,42,38,173,173,173
16,43,38,176,176,176
17,44,38,173,173,173
18,45,38,145,145,145
19,46,38,116,116,116
20,47,38,111,111,111
21,48,38,115,115,115
22,27,39,110,110,110
23,28,39,149,149,149
24,29,39,165,165,165
25,30,39,168,168,168
26,31,39,171,171,171
27,32,39,173,173,173
28,33,39,172,172,172
29,34,39,176,176,176
30,35,39,176,176,176
31,36,39,179,179,179
32,37,39,179,179,179
33,38,39,178,178,178
34,39,39,183,183,183
35,40,39,182,182,182
36,41,39,185,185,185
37,42,39,183,183,183
38,43,39,184,184,184
39,44,39,171,171,171
40,45,39,123,123,123
41,46,39,111,111,111
42,47,39,111,111,111
43,26,40,107,107,107
44,27,40,149,149,149
45,28,40,166,166,166
46,29,40,169,169,169
47,30,40,174,174,174
48,31,40,175,175,175
49,32,40,175,175,175
50,33,40,177,177,177
51,34,40,181,181,181
52,35,40,179,179,179
53,36,40,181,181,181
54,37,40,181,181,181
55,38,40,183,183,183
56,39,40,184,184,184
57,40,40,184,184,184
58,41,40,185,185,185
59,42,40,186,186,186
60,43,40,180,180,180
61,44,40,137,137,137
62,45,40,104,104,104
63,46,40,107,107,107
64,47,40,115,115,115
65,25,41,105,105,105
66,26,41,147,147,147
67,27,41,168,168,168
68,28,41,171,171,171
69,29,41,172,172,172
70,30,41,177,177,177
71,31,41,176,176,176
72,32,41,178,178,178
73,33,41,176,176,176
74,34,41,179,179,179
75,35,41,180,180,180
76,36,41,181,181,181
77,37,41,182,182,182
78,38,41,183,183,183
79,39,41,184,184,184
80,40,41,184,184,184
81,41,41,188,188,188
82,42,41,183,183,183
83,43,41,154,154,154
84,44,41,114,114,114
85,45,41,103,103,103
86,46,41,105,105,105
87,24,42,100,100,100
88,25,42,140,140,140
89,26,42,166,166,166
90,27,42,169,169,169
91,28,42,172,172,172
92,29,42,174,174,174
93,30,42,177,177,177
94,31,42,176,176,176
95,32,42,177,177,177
96,33,42,177,177,177
97,34,42,181,181,181
98,35,42,179,179,179
99,36,42,181,181,181
100,37,42,182,182,182
101,38,42,183,183,183
102,39,42,185,185,185
103,40,42,185,185,185
104,41,42,185,185,185
105,42,42,166,166,166
106,43,42,117,117,117
107,44,42,109,109,109
108,45,42,104,104,104
109,46,42,107,107,107
110,23,43,95,95,95
111,24,43,132,132,132
112,25,43,161,161,161
113,26,43,167,167,167
114,27,43,170,170,170
115,28,43,174,174,174
116,29,43,174,174,174
117,30,43,176,176,176
118,31,43,177,177,177
119,32,43,176,176,176
120,33,43,176,176,176
121,34,43,180,180,180
122,35,43,178,178,178
123,36,43,182,182,182
124,37,43,180,180,180
125,38,43,183,183,183
126,39,43,185,185,185
127,40,43,186,186,186
128,41,43,177,177,177
129,42,43,129,129,129
130,43,43,102,102,102
131,44,43,103,103,103
132,45,43,98,98,98
133,22,44,92,92,92
134,23,44,127,127,127
135,24,44,157,157,157
136,25,44,164,164,164
137,26,44,169,169,169
138,27,44,170,170,170
139,28,44,172,172,172
140,29,44,175,175,175
141,30,44,176,176,176
142,31,44,176,176,176
143,32,44,175,175,175
144,33,44,176,176,176
145,34,44,177,177,177
146,35,44,176,176,176
147,36,44,179,179,179
148,37,44,180,180,180
149,38,44,183,183,183
150,39,44,184,184,184
151,40,44,180,180,180
152,41,44,142,142,142
153,42,44,100,100,100
154,43,44,96,96,96
155,44,44,96,96,96
156,45,44,96,96,96
157,21,45,99,99,99
158,22,45,120,120,120
159,23,45,151,151,151
160,24,45,158,158,158
161,25,45,165,165,165
162,26,45,165,165,165
163,27,45,170,170,170
164,28,45,169,169,169
165,29,45,172,172,172
166,30,45,172,172,172
167,31,45,172,172,172
168,32,45,176,176,176
169,33,45,175,175,175
170,34,45,177,177,177
171,35,45,175,175,175
172,36,45,176,176,176
173,37,45,178,178,178
174,38,45,181,181,181
175,39,45,180,180,180
176,40,45,152,152,152
177,41,45,107,107,107
178,42,45,95,95,95
179,43,45,94,94,94
180,44,45,95,95,95
181,20,46,98,98,98
182,21,46,92,92,92
183,22,46,121,121,121
184,23,46,127,127,127
185,24,46,132,132,132
186,25,46,137,137,137
187,26,46,140,140,140
188,27,46,142,142,142
189,28,46,144,144,144
190,29,46,145,145,145
191,30,46,150,150,150
192,31,46,151,151,151
193,32,46,149,149,149
194,33,46,152,152,152
195,34,46,157,157,157
196,35,46,157,157,157
197,36,46,162,162,162
198,37,46,162,162,162
199,38,46,166,166,166
200,39,46,156,156,156
201,40,46,112,112,112
202,41,46,96,96,96
203,42,46,91,91,91
204,43,46,92,92,92
205,44,46,97,97,97
206,19,47,106,106,106
207,20,47,79,79,79
208,21,47,80,80,80
209,22,47,78,78,78
210,23,47,79,79,79
211,24,47,80,80,80
212,25,47,85,85,85
213,26,47,85,85,85
214,27,47,90,90,90
215,28,47,93,93,93
216,29,47,92,92,92
217,30,47,94,94,94
218,31,47,95,95,95
219,32,47,95,95,95
220,33,47,96,96,96
221,34,47,91,91,91
222,35,47,94,94,94
223,36,47,97,97,97
224,37,47,102,102,102
225,38,47,108,108,108
226,39,47,107,107,107
227,40,47,95,95,95
228,41,47,95,95,95
229,42,47,94,94,94
230,43,47,97,97,97
