 ,X,Y,Red,Green,Blue
1,23,28,97,97,97
2,24,28,95,95,95
3,25,28,87,87,87
4,26,28,84,84,84
5,27,28,75,75,75
6,28,28,70,70,70
7,29,28,69,69,69
8,30,28,71,71,71
9,31,28,70,70,70
10,32,28,73,73,73
11,33,28,81,81,81
12,34,28,92,92,92
13,35,28,104,104,104
14,36,28,108,108,108
15,22,29,101,101,101
16,23,29,98,98,98
17,24,29,87,87,87
18,25,29,80,80,80
19,26,29,74,74,74
20,27,29,67,67,67
21,28,29,65,65,65
22,29,29,61,61,61
23,30,29,56,56,56
24,31,29,61,61,61
25,32,29,70,70,70
26,33,29,82,82,82
27,34,29,88,88,88
28,35,29,96,96,96
29,21,30,100,100,100
30,22,30,97,97,97
31,23,30,91,91,91
32,24,30,87,87,87
33,25,30,80,80,80
34,26,30,78,78,78
35,27,30,72,72,72
36,28,30,69,69,69
37,29,30,62,62,62
38,30,30,61,61,61
39,31,30,62,62,62
40,32,30,72,72,72
41,33,30,85,85,85
42,34,30,90,90,90
43,20,31,101,101,101
44,21,31,101,101,101
45,22,31,96,96,96
46,23,31,87,87,87
47,24,31,83,83,83
48,25,31,80,80,80
49,26,31,76,76,76
50,27,31,71,71,71
51,28,31,71,71,71
52,29,31,60,60,60
53,30,31,66,66,66
54,31,31,64,64,64
55,32,31,78,78,78
56,33,31,95,95,95
