 ,X,Y,Red,Green,Blue
1,0,79,102,102,102
2,1,79,97,97,97
3,2,79,95,95,95
4,3,79,88,88,88
5,4,79,88,88,88
6,5,79,81,81,81
7,6,79,85,85,85
8,7,79,88,88,88
9,8,79,89,89,89
10,0,80,93,93,93
11,1,80,87,87,87
12,2,80,85,85,85
13,3,80,78,78,78
14,4,80,71,71,71
15,5,80,68,68,68
16,6,80,68,68,68
17,7,80,72,72,72
18,0,81,93,93,93
19,1,81,90,90,90
20,2,81,93,93,93
21,3,81,79,79,79
22,4,81,75,75,75
23,5,81,69,69,69
24,6,81,70,70,70
25,7,81,73,73,73
26,0,82,97,97,97
27,1,82,91,91,91
28,2,82,95,95,95
29,3,82,88,88,88
30,4,82,80,80,80
31,5,82,72,72,72
32,6,82,76,76,76
33,0,83,100,100,100
34,1,83,94,94,94
35,2,83,97,97,97
36,3,83,85,85,85
37,4,83,77,77,77
38,5,83,74,74,74
39,0,84,101,101,101
40,1,84,97,97,97
41,2,84,93,93,93
42,3,84,90,90,90
43,4,84,83,83,83
44,5,84,78,78,78
45,0,85,100,100,100
46,1,85,94,94,94
47,2,85,91,91,91
48,3,85,96,96,96
49,4,85,89,89,89
50,0,86,102,102,102
51,1,86,100,100,100
52,2,86,97,97,97
53,3,86,93,93,93
54,4,86,96,96,96
55,0,87,102,102,102
56,1,87,96,96,96
57,2,87,101,101,101
58,3,87,102,102,102
59,0,88,109,109,109
60,1,88,108,108,108
61,2,88,108,108,108
62,0,89,102,102,102
63,1,89,104,104,104
64,2,89,112,112,112
65,0,90,97,97,97
66,1,90,103,103,103
67,0,91,96,96,96
68,1,91,113,113,113
69,0,92,112,112,112
