 ,X,Y,Red,Green,Blue
1,25,40,117,117,117
2,26,40,108,108,108
3,27,40,87,87,87
4,28,40,84,84,84
5,29,40,78,78,78
6,30,40,80,80,80
7,31,40,77,77,77
8,32,40,75,75,75
9,33,40,76,76,76
10,34,40,75,75,75
11,35,40,73,73,73
12,36,40,75,75,75
13,37,40,67,67,67
14,38,40,82,82,82
15,39,40,79,79,79
16,40,40,95,95,95
17,41,40,97,97,97
18,24,41,116,116,116
19,25,41,104,104,104
20,26,41,90,90,90
21,27,41,80,80,80
22,28,41,75,75,75
23,29,41,70,70,70
24,30,41,76,76,76
25,31,41,76,76,76
26,32,41,70,70,70
27,33,41,70,70,70
28,34,41,71,71,71
29,35,41,71,71,71
30,36,41,71,71,71
31,37,41,65,65,65
32,38,41,72,72,72
33,39,41,77,77,77
34,40,41,89,89,89
35,23,42,108,108,108
36,24,42,97,97,97
37,25,42,84,84,84
38,26,42,80,80,80
39,27,42,74,74,74
40,28,42,74,74,74
41,29,42,69,69,69
42,30,42,72,72,72
43,31,42,72,72,72
44,32,42,71,71,71
45,33,42,68,68,68
46,34,42,67,67,67
47,35,42,69,69,69
48,36,42,72,72,72
49,37,42,66,66,66
50,38,42,69,69,69
51,39,42,83,83,83
52,22,43,107,107,107
53,23,43,97,97,97
54,24,43,89,89,89
55,25,43,74,74,74
56,26,43,74,74,74
57,27,43,71,71,71
58,28,43,71,71,71
59,29,43,69,69,69
60,30,43,71,71,71
61,31,43,74,74,74
62,32,43,67,67,67
63,33,43,74,74,74
64,34,43,71,71,71
65,35,43,67,67,67
66,36,43,69,69,69
67,37,43,67,67,67
68,38,43,67,67,67
69,21,44,100,100,100
70,22,44,99,99,99
71,23,44,92,92,92
72,24,44,79,79,79
73,25,44,77,77,77
74,26,44,75,75,75
75,27,44,73,73,73
76,28,44,74,74,74
77,29,44,69,69,69
78,30,44,69,69,69
79,31,44,69,69,69
80,32,44,71,71,71
81,33,44,71,71,71
82,34,44,69,69,69
83,35,44,72,72,72
84,36,44,69,69,69
85,37,44,69,69,69
86,38,44,88,88,88
87,20,45,97,97,97
88,21,45,93,93,93
89,22,45,90,90,90
90,23,45,86,86,86
91,24,45,83,83,83
92,25,45,78,78,78
93,26,45,74,74,74
94,27,45,75,75,75
95,28,45,74,74,74
96,29,45,72,72,72
97,30,45,71,71,71
98,31,45,74,74,74
99,32,45,75,75,75
100,33,45,73,73,73
101,34,45,73,73,73
102,35,45,73,73,73
103,36,45,74,74,74
104,37,45,93,93,93
105,19,46,95,95,95
106,20,46,95,95,95
107,21,46,96,96,96
108,22,46,94,94,94
109,23,46,91,91,91
110,24,46,90,90,90
111,25,46,88,88,88
112,26,46,98,98,98
113,27,46,90,90,90
114,28,46,88,88,88
115,29,46,89,89,89
116,30,46,87,87,87
117,31,46,93,93,93
118,32,46,96,96,96
119,33,46,96,96,96
120,34,46,91,91,91
121,35,46,94,94,94
122,36,46,101,101,101
