 ,X,Y,Red,Green,Blue
1,124,81,134,134,134
2,125,81,129,129,129
3,126,81,122,122,122
4,127,81,117,117,117
5,128,81,120,120,120
6,129,81,118,118,118
7,130,81,121,121,121
8,131,81,125,125,125
9,132,81,122,122,122
10,133,81,122,122,122
11,134,81,120,120,120
12,135,81,121,121,121
13,136,81,117,117,117
14,137,81,117,117,117
15,138,81,121,121,121
16,139,81,114,114,114
17,140,81,114,114,114
18,141,81,112,112,112
19,142,81,110,110,110
20,143,81,112,112,112
21,144,81,108,108,108
22,145,81,103,103,103
23,146,81,101,101,101
24,147,81,104,104,104
25,148,81,101,101,101
26,149,81,97,97,97
27,150,81,100,100,100
28,151,81,103,103,103
29,152,81,94,94,94
30,153,81,96,96,96
31,154,81,96,96,96
32,155,81,96,96,96
33,124,82,105,105,105
34,125,82,89,89,89
35,126,82,78,78,78
36,127,82,77,77,77
37,128,82,80,80,80
38,129,82,74,74,74
39,130,82,75,75,75
40,131,82,80,80,80
41,132,82,83,83,83
42,133,82,85,85,85
43,134,82,83,83,83
44,135,82,80,80,80
45,136,82,84,84,84
46,137,82,80,80,80
47,138,82,87,87,87
48,139,82,78,78,78
49,140,82,80,80,80
50,141,82,75,75,75
51,142,82,75,75,75
52,143,82,79,79,79
53,144,82,74,74,74
54,145,82,67,67,67
55,146,82,62,62,62
56,147,82,60,60,60
57,148,82,57,57,57
58,149,82,56,56,56
59,150,82,62,62,62
60,151,82,62,62,62
61,152,82,62,62,62
62,153,82,58,58,58
63,154,82,58,58,58
64,155,82,62,62,62
65,156,82,75,75,75
66,125,83,76,76,76
67,126,83,65,65,65
68,127,83,61,61,61
69,128,83,61,61,61
70,129,83,55,55,55
71,130,83,62,62,62
72,131,83,67,67,67
73,132,83,65,65,65
74,133,83,68,68,68
75,134,83,69,69,69
76,135,83,66,66,66
77,136,83,68,68,68
78,137,83,69,69,69
79,138,83,73,73,73
80,139,83,73,73,73
81,140,83,67,67,67
82,141,83,64,64,64
83,142,83,63,63,63
84,143,83,65,65,65
85,144,83,66,66,66
86,145,83,57,57,57
87,146,83,51,51,51
88,147,83,47,47,47
89,148,83,51,51,51
90,149,83,47,47,47
91,150,83,47,47,47
92,151,83,54,54,54
93,152,83,52,52,52
94,153,83,50,50,50
95,154,83,57,57,57
96,155,83,54,54,54
97,156,83,62,62,62
98,125,84,75,75,75
99,126,84,64,64,64
100,127,84,58,58,58
101,128,84,58,58,58
102,129,84,57,57,57
103,130,84,64,64,64
104,131,84,63,63,63
105,132,84,65,65,65
106,133,84,69,69,69
107,134,84,67,67,67
108,135,84,67,67,67
109,136,84,65,65,65
110,137,84,67,67,67
111,138,84,72,72,72
112,139,84,71,71,71
113,140,84,65,65,65
114,141,84,62,62,62
115,142,84,65,65,65
116,143,84,67,67,67
117,144,84,61,61,61
118,145,84,61,61,61
119,146,84,54,54,54
120,147,84,53,53,53
121,148,84,48,48,48
122,149,84,46,46,46
123,150,84,49,49,49
124,151,84,52,52,52
125,152,84,56,56,56
126,153,84,50,50,50
127,154,84,49,49,49
128,155,84,56,56,56
129,156,84,54,54,54
130,157,84,67,67,67
131,125,85,83,83,83
132,126,85,65,65,65
133,127,85,58,58,58
134,128,85,61,61,61
135,129,85,58,58,58
136,130,85,58,58,58
137,131,85,62,62,62
138,132,85,67,67,67
139,133,85,67,67,67
140,134,85,67,67,67
141,135,85,65,65,65
142,136,85,61,61,61
143,137,85,64,64,64
144,138,85,68,68,68
145,139,85,65,65,65
146,140,85,66,66,66
147,141,85,66,66,66
148,142,85,64,64,64
149,143,85,68,68,68
150,144,85,63,63,63
151,145,85,61,61,61
152,146,85,60,60,60
153,147,85,52,52,52
154,148,85,48,48,48
155,149,85,52,52,52
156,150,85,46,46,46
157,151,85,55,55,55
158,152,85,52,52,52
159,153,85,47,47,47
160,154,85,52,52,52
161,155,85,49,49,49
162,156,85,53,53,53
163,157,85,57,57,57
164,126,86,67,67,67
165,127,86,65,65,65
166,128,86,62,62,62
167,129,86,64,64,64
168,130,86,65,65,65
169,131,86,63,63,63
170,132,86,62,62,62
171,133,86,68,68,68
172,134,86,69,69,69
173,135,86,73,73,73
174,136,86,68,68,68
175,137,86,65,65,65
176,138,86,69,69,69
177,139,86,68,68,68
178,140,86,64,64,64
179,141,86,65,65,65
180,142,86,68,68,68
181,143,86,63,63,63
182,144,86,61,61,61
183,145,86,61,61,61
184,146,86,58,58,58
185,147,86,54,54,54
186,148,86,51,51,51
187,149,86,50,50,50
188,150,86,48,48,48
189,151,86,45,45,45
190,152,86,50,50,50
191,153,86,48,48,48
192,154,86,44,44,44
193,155,86,48,48,48
194,156,86,50,50,50
195,157,86,52,52,52
196,158,86,63,63,63
197,126,87,76,76,76
198,127,87,67,67,67
199,128,87,70,70,70
200,129,87,62,62,62
201,130,87,63,63,63
202,131,87,65,65,65
203,132,87,67,67,67
204,133,87,68,68,68
205,134,87,69,69,69
206,135,87,71,71,71
207,136,87,67,67,67
208,137,87,68,68,68
209,138,87,71,71,71
210,139,87,68,68,68
211,140,87,67,67,67
212,141,87,65,65,65
213,142,87,65,65,65
214,143,87,65,65,65
215,144,87,63,63,63
216,145,87,65,65,65
217,146,87,65,65,65
218,147,87,59,59,59
219,148,87,51,51,51
220,149,87,47,47,47
221,150,87,44,44,44
222,151,87,45,45,45
223,152,87,45,45,45
224,153,87,44,44,44
225,154,87,44,44,44
226,155,87,46,46,46
227,156,87,45,45,45
228,157,87,47,47,47
229,158,87,54,54,54
230,126,88,105,105,105
231,127,88,101,101,101
232,128,88,92,92,92
233,129,88,74,74,74
234,130,88,69,69,69
235,131,88,64,64,64
236,132,88,69,69,69
237,133,88,65,65,65
238,134,88,65,65,65
239,135,88,69,69,69
240,136,88,63,63,63
241,137,88,64,64,64
242,138,88,70,70,70
243,139,88,66,66,66
244,140,88,65,65,65
245,141,88,62,62,62
246,142,88,62,62,62
247,143,88,63,63,63
248,144,88,62,62,62
249,145,88,64,64,64
250,146,88,66,66,66
251,147,88,59,59,59
252,148,88,55,55,55
253,149,88,47,47,47
254,150,88,45,45,45
255,151,88,50,50,50
256,152,88,44,44,44
257,153,88,43,43,43
258,154,88,48,48,48
259,155,88,45,45,45
260,156,88,49,49,49
261,157,88,45,45,45
262,158,88,47,47,47
263,127,89,91,91,91
264,128,89,109,109,109
265,129,89,79,79,79
266,130,89,65,65,65
267,131,89,66,66,66
268,132,89,70,70,70
269,133,89,72,72,72
270,134,89,65,65,65
271,135,89,69,69,69
272,136,89,63,63,63
273,137,89,69,69,69
274,138,89,68,68,68
275,139,89,63,63,63
276,140,89,65,65,65
277,141,89,65,65,65
278,142,89,65,65,65
279,143,89,69,69,69
280,144,89,67,67,67
281,145,89,62,62,62
282,146,89,66,66,66
283,147,89,67,67,67
284,148,89,58,58,58
285,149,89,54,54,54
286,150,89,48,48,48
287,151,89,51,51,51
288,152,89,48,48,48
289,153,89,43,43,43
290,154,89,44,44,44
291,155,89,46,46,46
292,156,89,49,49,49
293,157,89,50,50,50
294,158,89,51,51,51
295,127,90,91,91,91
296,128,90,107,107,107
297,129,90,96,96,96
298,130,90,69,69,69
299,131,90,71,71,71
300,132,90,68,68,68
301,133,90,68,68,68
302,134,90,70,70,70
303,135,90,69,69,69
304,136,90,64,64,64
305,137,90,67,67,67
306,138,90,66,66,66
307,139,90,68,68,68
308,140,90,68,68,68
309,141,90,64,64,64
310,142,90,64,64,64
311,143,90,65,65,65
312,144,90,65,65,65
313,145,90,64,64,64
314,146,90,67,67,67
315,147,90,67,67,67
316,148,90,60,60,60
317,149,90,52,52,52
318,150,90,48,48,48
319,151,90,50,50,50
320,152,90,47,47,47
321,153,90,44,44,44
322,154,90,41,41,41
323,155,90,47,47,47
324,156,90,49,49,49
325,157,90,47,47,47
326,158,90,50,50,50
327,127,91,102,102,102
328,128,91,103,103,103
329,129,91,105,105,105
330,130,91,78,78,78
331,131,91,74,74,74
332,132,91,72,72,72
333,133,91,70,70,70
334,134,91,68,68,68
335,135,91,71,71,71
336,136,91,67,67,67
337,137,91,67,67,67
338,138,91,67,67,67
339,139,91,63,63,63
340,140,91,63,63,63
341,141,91,62,62,62
342,142,91,67,67,67
343,143,91,65,65,65
344,144,91,67,67,67
345,145,91,64,64,64
346,146,91,67,67,67
347,147,91,69,69,69
348,148,91,66,66,66
349,149,91,61,61,61
350,150,91,53,53,53
351,151,91,54,54,54
352,152,91,52,52,52
353,153,91,40,40,40
354,154,91,42,42,42
355,155,91,45,45,45
356,156,91,43,43,43
357,157,91,41,41,41
358,158,91,47,47,47
359,128,92,103,103,103
360,129,92,112,112,112
361,130,92,93,93,93
362,131,92,72,72,72
363,132,92,74,74,74
364,133,92,75,75,75
365,134,92,72,72,72
366,135,92,69,69,69
367,136,92,66,66,66
368,137,92,67,67,67
369,138,92,72,72,72
370,139,92,66,66,66
371,140,92,65,65,65
372,141,92,62,62,62
373,142,92,65,65,65
374,143,92,66,66,66
375,144,92,67,67,67
376,145,92,62,62,62
377,146,92,72,72,72
378,147,92,69,69,69
379,148,92,74,74,74
380,149,92,71,71,71
381,150,92,67,67,67
382,151,92,55,55,55
383,152,92,47,47,47
384,153,92,48,48,48
385,154,92,42,42,42
386,155,92,46,46,46
387,156,92,41,41,41
388,157,92,47,47,47
389,158,92,50,50,50
390,128,93,105,105,105
391,129,93,111,111,111
392,130,93,100,100,100
393,131,93,78,78,78
394,132,93,71,71,71
395,133,93,74,74,74
396,134,93,69,69,69
397,135,93,68,68,68
398,136,93,65,65,65
399,137,93,67,67,67
400,138,93,68,68,68
401,139,93,61,61,61
402,140,93,63,63,63
403,141,93,67,67,67
404,142,93,66,66,66
405,143,93,69,69,69
406,144,93,68,68,68
407,145,93,70,70,70
408,146,93,74,74,74
409,147,93,80,80,80
410,148,93,78,78,78
411,149,93,84,84,84
412,150,93,80,80,80
413,151,93,65,65,65
414,152,93,52,52,52
415,153,93,45,45,45
416,154,93,49,49,49
417,155,93,45,45,45
418,156,93,51,51,51
419,157,93,45,45,45
420,158,93,50,50,50
421,128,94,124,124,124
422,129,94,109,109,109
423,130,94,112,112,112
424,131,94,82,82,82
425,132,94,74,74,74
426,133,94,74,74,74
427,134,94,71,71,71
428,135,94,69,69,69
429,136,94,67,67,67
430,137,94,68,68,68
431,138,94,67,67,67
432,139,94,64,64,64
433,140,94,71,71,71
434,141,94,67,67,67
435,142,94,75,75,75
436,143,94,75,75,75
437,144,94,80,80,80
438,145,94,85,85,85
439,146,94,87,87,87
440,147,94,94,94,94
441,148,94,100,100,100
442,149,94,101,101,101
443,150,94,91,91,91
444,151,94,75,75,75
445,152,94,61,61,61
446,153,94,47,47,47
447,154,94,47,47,47
448,155,94,49,49,49
449,156,94,50,50,50
450,157,94,50,50,50
451,158,94,52,52,52
452,129,95,105,105,105
453,130,95,109,109,109
454,131,95,86,86,86
455,132,95,73,73,73
456,133,95,71,71,71
457,134,95,67,67,67
458,135,95,70,70,70
459,136,95,70,70,70
460,137,95,69,69,69
461,138,95,71,71,71
462,139,95,68,68,68
463,140,95,71,71,71
464,141,95,73,73,73
465,142,95,75,75,75
466,143,95,84,84,84
467,144,95,91,91,91
468,145,95,102,102,102
469,146,95,114,114,114
470,147,95,121,121,121
471,148,95,126,126,126
472,149,95,127,127,127
473,150,95,117,117,117
474,151,95,95,95,95
475,152,95,67,67,67
476,153,95,48,48,48
477,154,95,47,47,47
478,155,95,48,48,48
479,156,95,49,49,49
480,157,95,52,52,52
481,158,95,48,48,48
482,129,96,90,90,90
483,130,96,102,102,102
484,131,96,97,97,97
485,132,96,79,79,79
486,133,96,69,69,69
487,134,96,71,71,71
488,135,96,71,71,71
489,136,96,68,68,68
490,137,96,67,67,67
491,138,96,78,78,78
492,139,96,71,71,71
493,140,96,69,69,69
494,141,96,77,77,77
495,142,96,79,79,79
496,143,96,93,93,93
497,144,96,108,108,108
498,145,96,132,132,132
499,146,96,145,145,145
500,147,96,160,160,160
501,148,96,163,163,163
502,149,96,162,162,162
503,150,96,155,155,155
504,151,96,129,129,129
505,152,96,89,89,89
506,153,96,58,58,58
507,154,96,50,50,50
508,155,96,50,50,50
509,156,96,50,50,50
510,157,96,49,49,49
511,158,96,47,47,47
512,129,97,88,88,88
513,130,97,95,95,95
514,131,97,105,105,105
515,132,97,83,83,83
516,133,97,72,72,72
517,134,97,76,76,76
518,135,97,71,71,71
519,136,97,74,74,74
520,137,97,75,75,75
521,138,97,78,78,78
522,139,97,75,75,75
523,140,97,76,76,76
524,141,97,75,75,75
525,142,97,93,93,93
526,143,97,112,112,112
527,144,97,141,141,141
528,145,97,166,166,166
529,146,97,171,171,171
530,147,97,173,173,173
531,148,97,171,171,171
532,149,97,174,174,174
533,150,97,165,165,165
534,151,97,146,146,146
535,152,97,108,108,108
536,153,97,67,67,67
537,154,97,52,52,52
538,155,97,48,48,48
539,156,97,50,50,50
540,157,97,50,50,50
541,158,97,47,47,47
542,129,98,97,97,97
543,130,98,80,80,80
544,131,98,104,104,104
545,132,98,96,96,96
546,133,98,75,75,75
547,134,98,74,74,74
548,135,98,69,69,69
549,136,98,65,65,65
550,137,98,77,77,77
551,138,98,74,74,74
552,139,98,74,74,74
553,140,98,79,79,79
554,141,98,81,81,81
555,142,98,97,97,97
556,143,98,125,125,125
557,144,98,155,155,155
558,145,98,164,164,164
559,146,98,161,161,161
560,147,98,156,156,156
561,148,98,162,162,162
562,149,98,158,158,158
563,150,98,154,154,154
564,151,98,144,144,144
565,152,98,122,122,122
566,153,98,82,82,82
567,154,98,53,53,53
568,155,98,50,50,50
569,156,98,52,52,52
570,157,98,51,51,51
571,158,98,51,51,51
572,130,99,76,76,76
573,131,99,84,84,84
574,132,99,97,97,97
575,133,99,80,80,80
576,134,99,75,75,75
577,135,99,71,71,71
578,136,99,71,71,71
579,137,99,78,78,78
580,138,99,78,78,78
581,139,99,74,74,74
582,140,99,80,80,80
583,141,99,89,89,89
584,142,99,104,104,104
585,143,99,135,135,135
586,144,99,161,161,161
587,145,99,163,163,163
588,146,99,158,158,158
589,147,99,164,164,164
590,148,99,158,158,158
591,149,99,162,162,162
592,150,99,153,153,153
593,151,99,145,145,145
594,152,99,125,125,125
595,153,99,92,92,92
596,154,99,68,68,68
597,155,99,58,58,58
598,156,99,56,56,56
599,157,99,57,57,57
600,158,99,56,56,56
601,130,100,86,86,86
602,131,100,78,78,78
603,132,100,104,104,104
604,133,100,87,87,87
605,134,100,80,80,80
606,135,100,78,78,78
607,136,100,73,73,73
608,137,100,74,74,74
609,138,100,80,80,80
610,139,100,77,77,77
611,140,100,79,79,79
612,141,100,93,93,93
613,142,100,110,110,110
614,143,100,149,149,149
615,144,100,168,168,168
616,145,100,164,164,164
617,146,100,163,163,163
618,147,100,163,163,163
619,148,100,166,166,166
620,149,100,164,164,164
621,150,100,153,153,153
622,151,100,147,147,147
623,152,100,122,122,122
624,153,100,96,96,96
625,154,100,78,78,78
626,155,100,59,59,59
627,156,100,59,59,59
628,157,100,61,61,61
629,158,100,59,59,59
630,130,101,101,101,101
631,131,101,78,78,78
632,132,101,111,111,111
633,133,101,93,93,93
634,134,101,78,78,78
635,135,101,80,80,80
636,136,101,75,75,75
637,137,101,75,75,75
638,138,101,79,79,79
639,139,101,78,78,78
640,140,101,87,87,87
641,141,101,97,97,97
642,142,101,117,117,117
643,143,101,153,153,153
644,144,101,170,170,170
645,145,101,161,161,161
646,146,101,164,164,164
647,147,101,170,170,170
648,148,101,170,170,170
649,149,101,166,166,166
650,150,101,157,157,157
651,151,101,139,139,139
652,152,101,114,114,114
653,153,101,96,96,96
654,154,101,86,86,86
655,155,101,65,65,65
656,156,101,61,61,61
657,157,101,64,64,64
658,158,101,62,62,62
659,131,102,80,80,80
660,132,102,102,102,102
661,133,102,108,108,108
662,134,102,83,83,83
663,135,102,82,82,82
664,136,102,78,78,78
665,137,102,78,78,78
666,138,102,84,84,84
667,139,102,82,82,82
668,140,102,89,89,89
669,141,102,94,94,94
670,142,102,125,125,125
671,143,102,155,155,155
672,144,102,168,168,168
673,145,102,161,161,161
674,146,102,164,164,164
675,147,102,166,166,166
676,148,102,174,174,174
677,149,102,164,164,164
678,150,102,153,153,153
679,151,102,128,128,128
680,152,102,107,107,107
681,153,102,93,93,93
682,154,102,85,85,85
683,155,102,72,72,72
684,156,102,67,67,67
685,157,102,65,65,65
686,158,102,63,63,63
687,131,103,91,91,91
688,132,103,90,90,90
689,133,103,109,109,109
690,134,103,95,95,95
691,135,103,83,83,83
692,136,103,80,80,80
