 ,X,Y,Red,Green,Blue
1,14,49,96,96,96
2,15,49,97,97,97
3,16,49,94,94,94
4,17,49,96,96,96
5,18,49,94,94,94
6,19,49,93,93,93
7,20,49,94,94,94
8,21,49,93,93,93
9,22,49,95,95,95
10,23,49,95,95,95
11,24,49,91,91,91
12,25,49,88,88,88
13,26,49,87,87,87
14,27,49,90,90,90
15,28,49,90,90,90
16,29,49,85,85,85
17,30,49,84,84,84
18,31,49,88,88,88
19,32,49,88,88,88
20,13,50,93,93,93
21,14,50,90,90,90
22,15,50,88,88,88
23,16,50,87,87,87
24,17,50,93,93,93
25,18,50,91,91,91
26,19,50,86,86,86
27,20,50,83,83,83
28,21,50,82,82,82
29,22,50,87,87,87
30,23,50,80,80,80
31,24,50,84,84,84
32,25,50,84,84,84
33,26,50,93,93,93
34,27,50,96,96,96
35,28,50,96,96,96
36,29,50,95,95,95
37,30,50,97,97,97
38,31,50,100,100,100
39,12,51,86,86,86
40,13,51,91,91,91
41,14,51,80,80,80
42,15,51,82,82,82
43,16,51,83,83,83
44,17,51,85,85,85
45,18,51,80,80,80
46,19,51,69,69,69
47,20,51,67,67,67
48,21,51,63,63,63
49,22,51,67,67,67
50,23,51,71,71,71
51,24,51,80,80,80
52,25,51,89,89,89
53,26,51,98,98,98
54,27,51,106,106,106
55,28,51,109,109,109
56,29,51,101,101,101
57,30,51,111,111,111
58,11,52,86,86,86
59,12,52,75,75,75
60,13,52,77,77,77
61,14,52,70,70,70
62,15,52,75,75,75
63,16,52,80,80,80
64,17,52,74,74,74
65,18,52,65,65,65
66,19,52,61,61,61
67,20,52,61,61,61
68,21,52,65,65,65
69,22,52,65,65,65
70,23,52,70,70,70
71,24,52,83,83,83
72,25,52,91,91,91
73,26,52,107,107,107
74,27,52,107,107,107
75,28,52,110,110,110
76,29,52,103,103,103
77,30,52,115,115,115
78,10,53,85,85,85
79,11,53,79,79,79
80,12,53,74,74,74
81,13,53,72,72,72
82,14,53,69,69,69
83,15,53,75,75,75
84,16,53,75,75,75
85,17,53,70,70,70
86,18,53,65,65,65
87,19,53,61,61,61
88,20,53,67,67,67
89,21,53,65,65,65
90,22,53,66,66,66
91,23,53,83,83,83
92,24,53,86,86,86
93,25,53,104,104,104
94,26,53,105,105,105
95,27,53,109,109,109
96,28,53,110,110,110
97,29,53,105,105,105
98,9,54,83,83,83
99,10,54,74,74,74
100,11,54,71,71,71
101,12,54,71,71,71
102,13,54,67,67,67
103,14,54,69,69,69
104,15,54,74,74,74
105,16,54,78,78,78
106,17,54,73,73,73
107,18,54,74,74,74
108,19,54,70,70,70
109,20,54,69,69,69
110,21,54,75,75,75
111,22,54,79,79,79
112,23,54,87,87,87
113,24,54,87,87,87
114,25,54,98,98,98
115,26,54,98,98,98
116,27,54,98,98,98
117,28,54,99,99,99
118,8,55,85,85,85
119,9,55,74,74,74
120,10,55,68,68,68
121,11,55,70,70,70
122,12,55,64,64,64
123,13,55,70,70,70
124,14,55,75,75,75
125,15,55,85,85,85
126,16,55,76,76,76
127,17,55,81,81,81
128,18,55,78,78,78
129,19,55,83,83,83
130,20,55,80,80,80
131,21,55,69,69,69
132,22,55,79,79,79
133,23,55,75,75,75
134,24,55,77,77,77
135,25,55,80,80,80
136,26,55,77,77,77
137,27,55,80,80,80
138,7,56,100,100,100
139,8,56,77,77,77
140,9,56,71,71,71
141,10,56,66,66,66
142,11,56,66,66,66
143,12,56,66,66,66
144,13,56,72,72,72
145,14,56,82,82,82
146,15,56,94,94,94
147,16,56,101,101,101
148,17,56,103,103,103
149,18,56,104,104,104
150,19,56,101,101,101
151,20,56,90,90,90
152,21,56,80,80,80
153,22,56,78,78,78
154,23,56,74,74,74
155,24,56,71,71,71
156,25,56,74,74,74
157,26,56,78,78,78
158,27,56,82,82,82
159,6,57,93,93,93
160,7,57,84,84,84
161,8,57,74,74,74
162,9,57,67,67,67
163,10,57,65,65,65
164,11,57,72,72,72
165,12,57,69,69,69
166,13,57,84,84,84
167,14,57,86,86,86
168,15,57,96,96,96
169,16,57,100,100,100
170,17,57,99,99,99
171,18,57,101,101,101
172,19,57,98,98,98
173,20,57,86,86,86
174,21,57,77,77,77
175,22,57,69,69,69
176,23,57,74,74,74
177,24,57,73,73,73
178,25,57,77,77,77
179,26,57,77,77,77
180,5,58,97,97,97
181,6,58,84,84,84
182,7,58,77,77,77
183,8,58,69,69,69
184,9,58,64,64,64
185,10,58,73,73,73
186,11,58,70,70,70
187,12,58,77,77,77
188,13,58,83,83,83
189,14,58,88,88,88
190,15,58,89,89,89
191,16,58,87,87,87
192,17,58,83,83,83
193,18,58,86,86,86
194,19,58,85,85,85
195,20,58,84,84,84
196,21,58,74,74,74
197,22,58,70,70,70
198,23,58,73,73,73
199,24,58,75,75,75
200,25,58,76,76,76
