 ,X,Y,Red,Green,Blue
1,2,61,95,95,95
2,3,61,84,84,84
3,4,61,78,78,78
4,5,61,81,81,81
5,6,61,78,78,78
6,7,61,76,76,76
7,8,61,72,72,72
8,9,61,67,67,67
9,10,61,65,65,65
10,11,61,70,70,70
11,12,61,79,79,79
12,13,61,87,87,87
13,14,61,88,88,88
14,15,61,91,91,91
15,16,61,92,92,92
16,17,61,87,87,87
17,18,61,92,92,92
18,19,61,93,93,93
19,20,61,95,95,95
20,21,61,91,91,91
21,22,61,95,95,95
22,23,61,97,97,97
23,1,62,92,92,92
24,2,62,70,70,70
25,3,62,66,66,66
26,4,62,65,65,65
27,5,62,67,67,67
28,6,62,65,65,65
29,7,62,67,67,67
30,8,62,59,59,59
31,9,62,60,60,60
32,10,62,58,58,58
33,11,62,58,58,58
34,12,62,70,70,70
35,13,62,80,80,80
36,14,62,80,80,80
37,15,62,83,83,83
38,16,62,80,80,80
39,17,62,82,82,82
40,18,62,87,87,87
41,19,62,84,84,84
42,20,62,89,89,89
43,21,62,84,84,84
44,22,62,88,88,88
45,0,63,89,89,89
46,1,63,76,76,76
47,2,63,65,65,65
48,3,63,67,67,67
49,4,63,59,59,59
50,5,63,60,60,60
51,6,63,65,65,65
52,7,63,54,54,54
53,8,63,55,55,55
54,9,63,54,54,54
55,10,63,51,51,51
56,11,63,53,53,53
57,12,63,63,63,63
58,13,63,74,74,74
59,14,63,75,75,75
60,15,63,85,85,85
61,16,63,83,83,83
62,17,63,89,89,89
63,18,63,89,89,89
64,19,63,87,87,87
65,20,63,91,91,91
66,21,63,96,96,96
67,0,64,75,75,75
68,1,64,70,70,70
69,2,64,63,63,63
70,3,64,66,66,66
71,4,64,58,58,58
72,5,64,60,60,60
73,6,64,58,58,58
74,7,64,53,53,53
75,8,64,54,54,54
76,9,64,54,54,54
77,10,64,54,54,54
78,11,64,52,52,52
79,12,64,57,57,57
80,13,64,73,73,73
81,14,64,76,76,76
82,15,64,90,90,90
83,16,64,90,90,90
84,17,64,93,93,93
85,18,64,101,101,101
86,19,64,98,98,98
87,20,64,101,101,101
88,0,65,76,76,76
89,1,65,69,69,69
90,2,65,65,65,65
91,3,65,58,58,58
92,4,65,62,62,62
93,5,65,57,57,57
94,6,65,58,58,58
95,7,65,56,56,56
96,8,65,58,58,58
97,9,65,54,54,54
98,10,65,59,59,59
99,11,65,56,56,56
100,12,65,56,56,56
101,13,65,67,67,67
102,14,65,79,79,79
103,15,65,86,86,86
104,16,65,93,93,93
105,17,65,101,101,101
106,18,65,101,101,101
107,19,65,105,105,105
108,20,65,114,114,114
109,0,66,73,73,73
110,1,66,65,65,65
111,2,66,67,67,67
112,3,66,56,56,56
113,4,66,56,56,56
114,5,66,58,58,58
115,6,66,61,61,61
116,7,66,60,60,60
117,8,66,54,54,54
118,9,66,54,54,54
119,10,66,52,52,52
120,11,66,55,55,55
121,12,66,56,56,56
122,13,66,67,67,67
123,14,66,78,78,78
124,15,66,83,83,83
125,16,66,93,93,93
126,17,66,99,99,99
127,18,66,104,104,104
128,19,66,111,111,111
129,0,67,72,72,72
130,1,67,60,60,60
131,2,67,60,60,60
132,3,67,64,64,64
133,4,67,63,63,63
134,5,67,58,58,58
135,6,67,56,56,56
136,7,67,56,56,56
137,8,67,58,58,58
138,9,67,61,61,61
139,10,67,53,53,53
140,11,67,55,55,55
141,12,67,59,59,59
142,13,67,65,65,65
143,14,67,74,74,74
144,15,67,91,91,91
145,16,67,99,99,99
146,17,67,103,103,103
147,18,67,109,109,109
148,0,68,74,74,74
149,1,68,62,62,62
150,2,68,61,61,61
151,3,68,58,58,58
152,4,68,56,56,56
153,5,68,58,58,58
154,6,68,62,62,62
155,7,68,65,65,65
156,8,68,56,56,56
157,9,68,56,56,56
158,10,68,51,51,51
159,11,68,57,57,57
160,12,68,56,56,56
161,13,68,69,69,69
162,14,68,72,72,72
163,15,68,84,84,84
164,16,68,96,96,96
165,17,68,100,100,100
166,0,69,75,75,75
167,1,69,63,63,63
168,2,69,59,59,59
169,3,69,62,62,62
170,4,69,60,60,60
171,5,69,61,61,61
172,6,69,60,60,60
173,7,69,62,62,62
174,8,69,58,58,58
175,9,69,55,55,55
176,10,69,51,51,51
177,11,69,54,54,54
178,12,69,62,62,62
179,13,69,62,62,62
180,14,69,68,68,68
181,15,69,82,82,82
182,16,69,96,96,96
183,17,69,108,108,108
184,0,70,73,73,73
185,1,70,64,64,64
186,2,70,60,60,60
187,3,70,58,58,58
188,4,70,60,60,60
189,5,70,59,59,59
190,6,70,59,59,59
191,7,70,65,65,65
192,8,70,56,56,56
193,9,70,56,56,56
194,10,70,52,52,52
195,11,70,59,59,59
196,12,70,60,60,60
197,13,70,62,62,62
198,14,70,69,69,69
199,15,70,80,80,80
200,16,70,101,101,101
201,0,71,76,76,76
202,1,71,65,65,65
203,2,71,62,62,62
204,3,71,59,59,59
205,4,71,62,62,62
206,5,71,59,59,59
207,6,71,66,66,66
208,7,71,59,59,59
209,8,71,58,58,58
210,9,71,56,56,56
211,10,71,59,59,59
212,11,71,59,59,59
213,12,71,59,59,59
214,13,71,70,70,70
215,14,71,69,69,69
216,15,71,79,79,79
217,0,72,71,71,71
218,1,72,71,71,71
219,2,72,65,65,65
220,3,72,62,62,62
221,4,72,62,62,62
222,5,72,62,62,62
223,6,72,61,61,61
224,7,72,62,62,62
225,8,72,59,59,59
226,9,72,62,62,62
227,10,72,58,58,58
228,11,72,58,58,58
229,12,72,62,62,62
230,13,72,67,67,67
231,14,72,70,70,70
232,0,73,82,82,82
233,1,73,71,71,71
234,2,73,73,73,73
235,3,73,64,64,64
236,4,73,62,62,62
237,5,73,61,61,61
238,6,73,62,62,62
239,7,73,58,58,58
240,8,73,60,60,60
241,9,73,62,62,62
242,10,73,62,62,62
243,11,73,65,65,65
244,12,73,66,66,66
245,13,73,73,73,73
246,14,73,87,87,87
247,0,74,88,88,88
248,1,74,74,74,74
249,2,74,69,69,69
250,3,74,69,69,69
251,4,74,65,65,65
252,5,74,65,65,65
253,6,74,70,70,70
254,7,74,65,65,65
255,8,74,62,62,62
256,9,74,67,67,67
257,10,74,61,61,61
258,11,74,63,63,63
259,12,74,69,69,69
260,13,74,84,84,84
261,0,75,100,100,100
262,1,75,93,93,93
263,2,75,77,77,77
264,3,75,74,74,74
265,4,75,71,71,71
266,5,75,73,73,73
267,6,75,74,74,74
268,7,75,67,67,67
269,8,75,58,58,58
270,9,75,61,61,61
271,10,75,61,61,61
272,11,75,69,69,69
273,12,75,73,73,73
274,0,76,116,116,116
275,1,76,101,101,101
276,2,76,96,96,96
277,3,76,87,87,87
278,4,76,85,85,85
279,5,76,83,83,83
280,6,76,80,80,80
281,7,76,75,75,75
282,8,76,71,71,71
283,9,76,71,71,71
284,10,76,72,72,72
285,11,76,77,77,77
