 ,X,Y,Red,Green,Blue
1,87,39,114,114,114
2,88,39,111,111,111
3,89,39,105,105,105
4,90,39,129,129,129
5,91,39,141,141,141
6,92,39,141,141,141
7,93,39,137,137,137
8,94,39,141,141,141
9,95,39,141,141,141
10,96,39,137,137,137
11,97,39,140,140,140
12,98,39,140,140,140
13,99,39,134,134,134
14,100,39,135,135,135
15,101,39,132,132,132
16,102,39,137,137,137
17,103,39,133,133,133
18,104,39,126,126,126
19,87,40,105,105,105
20,88,40,99,99,99
21,89,40,101,101,101
22,90,40,139,139,139
23,91,40,152,152,152
24,92,40,156,156,156
25,93,40,154,154,154
26,94,40,154,154,154
27,95,40,152,152,152
28,96,40,149,149,149
29,97,40,147,147,147
30,98,40,150,150,150
31,99,40,146,146,146
32,100,40,150,150,150
33,101,40,145,145,145
34,102,40,147,147,147
35,103,40,149,149,149
36,104,40,142,142,142
37,105,40,99,99,99
38,87,41,108,108,108
39,88,41,101,101,101
40,89,41,101,101,101
41,90,41,144,144,144
42,91,41,158,158,158
43,92,41,153,153,153
44,93,41,151,151,151
45,94,41,155,155,155
46,95,41,152,152,152
47,96,41,150,150,150
48,97,41,152,152,152
49,98,41,150,150,150
50,99,41,150,150,150
51,100,41,149,149,149
52,101,41,147,147,147
53,102,41,146,146,146
54,103,41,144,144,144
55,104,41,145,145,145
56,105,41,116,116,116
57,87,42,101,101,101
58,88,42,101,101,101
59,89,42,101,101,101
60,90,42,140,140,140
61,91,42,155,155,155
62,92,42,152,152,152
63,93,42,150,150,150
64,94,42,153,153,153
65,95,42,150,150,150
66,96,42,148,148,148
67,97,42,152,152,152
68,98,42,151,151,151
69,99,42,153,153,153
70,100,42,150,150,150
71,101,42,149,149,149
72,102,42,151,151,151
73,103,42,148,148,148
74,104,42,153,153,153
75,105,42,131,131,131
76,87,43,106,106,106
77,88,43,98,98,98
78,89,43,102,102,102
79,90,43,142,142,142
80,91,43,155,155,155
81,92,43,152,152,152
82,93,43,152,152,152
83,94,43,150,150,150
84,95,43,153,153,153
85,96,43,152,152,152
86,97,43,153,153,153
87,98,43,148,148,148
88,99,43,153,153,153
89,100,43,154,154,154
90,101,43,153,153,153
91,102,43,153,153,153
92,103,43,153,153,153
93,104,43,155,155,155
94,105,43,149,149,149
95,106,43,112,112,112
96,87,44,116,116,116
97,88,44,113,113,113
98,89,44,105,105,105
99,90,44,141,141,141
100,91,44,154,154,154
101,92,44,156,156,156
102,93,44,149,149,149
103,94,44,157,157,157
104,95,44,153,153,153
105,96,44,150,150,150
106,97,44,152,152,152
107,98,44,150,150,150
108,99,44,154,154,154
109,100,44,153,153,153
110,101,44,154,154,154
111,102,44,151,151,151
112,103,44,153,153,153
113,104,44,151,151,151
114,105,44,153,153,153
115,106,44,130,130,130
116,87,45,110,110,110
117,88,45,112,112,112
118,89,45,112,112,112
119,90,45,142,142,142
120,91,45,151,151,151
121,92,45,150,150,150
122,93,45,149,149,149
123,94,45,152,152,152
124,95,45,155,155,155
125,96,45,150,150,150
126,97,45,153,153,153
127,98,45,150,150,150
128,99,45,151,151,151
129,100,45,153,153,153
130,101,45,146,146,146
131,102,45,146,146,146
132,103,45,146,146,146
133,104,45,150,150,150
134,105,45,152,152,152
135,106,45,143,143,143
136,107,45,108,108,108
