 ,X,Y,Red,Green,Blue
1,12,80,82,82,82
2,13,80,69,69,69
3,14,80,71,71,71
4,15,80,75,75,75
5,16,80,68,68,68
6,17,80,73,73,73
7,18,80,86,86,86
8,19,80,90,90,90
9,20,80,90,90,90
10,21,80,93,93,93
11,22,80,101,101,101
12,23,80,96,96,96
13,24,80,96,96,96
14,25,80,100,100,100
15,26,80,104,104,104
16,27,80,108,108,108
17,28,80,107,107,107
18,29,80,105,105,105
19,30,80,109,109,109
20,31,80,108,108,108
21,32,80,106,106,106
22,33,80,108,108,108
23,34,80,112,112,112
24,35,80,116,116,116
25,36,80,118,118,118
26,37,80,114,114,114
27,38,80,116,116,116
28,39,80,120,120,120
29,40,80,123,123,123
30,41,80,125,125,125
31,42,80,128,128,128
32,43,80,129,129,129
33,11,81,87,87,87
34,12,81,70,70,70
35,13,81,62,62,62
36,14,81,62,62,62
37,15,81,62,62,62
38,16,81,60,60,60
39,17,81,67,67,67
40,18,81,73,73,73
41,19,81,83,83,83
42,20,81,81,81,81
43,21,81,84,84,84
44,22,81,83,83,83
45,23,81,78,78,78
46,24,81,74,74,74
47,25,81,73,73,73
48,26,81,73,73,73
49,27,81,75,75,75
50,28,81,71,71,71
51,29,81,71,71,71
52,30,81,74,74,74
53,31,81,71,71,71
54,32,81,73,73,73
55,33,81,72,72,72
56,34,81,74,74,74
57,35,81,67,67,67
58,36,81,74,74,74
59,37,81,69,69,69
60,38,81,72,72,72
61,39,81,72,72,72
62,40,81,79,79,79
63,41,81,75,75,75
64,42,81,84,84,84
65,10,82,89,89,89
66,11,82,72,72,72
67,12,82,67,67,67
68,13,82,62,62,62
69,14,82,62,62,62
70,15,82,66,66,66
71,16,82,65,65,65
72,17,82,62,62,62
73,18,82,71,71,71
74,19,82,81,81,81
75,20,82,87,87,87
76,21,82,83,83,83
77,22,82,78,78,78
78,23,82,75,75,75
79,24,82,75,75,75
80,25,82,72,72,72
81,26,82,69,69,69
82,27,82,69,69,69
83,28,82,76,76,76
84,29,82,73,73,73
85,30,82,71,71,71
86,31,82,69,69,69
87,32,82,70,70,70
88,33,82,66,66,66
89,34,82,71,71,71
90,35,82,72,72,72
91,36,82,69,69,69
92,37,82,65,65,65
93,38,82,69,69,69
94,39,82,71,71,71
95,40,82,69,69,69
96,41,82,69,69,69
97,42,82,73,73,73
98,10,83,81,81,81
99,11,83,69,69,69
100,12,83,65,65,65
101,13,83,62,62,62
102,14,83,63,63,63
103,15,83,62,62,62
104,16,83,57,57,57
105,17,83,62,62,62
106,18,83,67,67,67
107,19,83,75,75,75
108,20,83,83,83,83
109,21,83,84,84,84
110,22,83,83,83,83
111,23,83,78,78,78
112,24,83,75,75,75
113,25,83,72,72,72
114,26,83,74,74,74
115,27,83,72,72,72
116,28,83,78,78,78
117,29,83,75,75,75
118,30,83,71,71,71
119,31,83,71,71,71
120,32,83,71,71,71
121,33,83,65,65,65
122,34,83,70,70,70
123,35,83,71,71,71
124,36,83,65,65,65
125,37,83,63,63,63
126,38,83,65,65,65
127,39,83,65,65,65
128,40,83,70,70,70
129,41,83,70,70,70
130,9,84,86,86,86
131,10,84,71,71,71
132,11,84,62,62,62
133,12,84,61,61,61
134,13,84,65,65,65
135,14,84,59,59,59
136,15,84,61,61,61
137,16,84,61,61,61
138,17,84,62,62,62
139,18,84,69,69,69
140,19,84,74,74,74
141,20,84,80,80,80
142,21,84,82,82,82
143,22,84,74,74,74
144,23,84,75,75,75
145,24,84,78,78,78
146,25,84,77,77,77
147,26,84,78,78,78
148,27,84,74,74,74
149,28,84,78,78,78
150,29,84,71,71,71
151,30,84,74,74,74
152,31,84,64,64,64
153,32,84,69,69,69
154,33,84,64,64,64
155,34,84,67,67,67
156,35,84,64,64,64
157,36,84,63,63,63
158,37,84,63,63,63
159,38,84,65,65,65
160,39,84,65,65,65
161,40,84,72,72,72
162,41,84,73,73,73
163,8,85,86,86,86
164,9,85,80,80,80
165,10,85,66,66,66
166,11,85,65,65,65
167,12,85,61,61,61
168,13,85,62,62,62
169,14,85,58,58,58
170,15,85,58,58,58
171,16,85,58,58,58
172,17,85,61,61,61
173,18,85,65,65,65
174,19,85,70,70,70
175,20,85,75,75,75
176,21,85,74,74,74
177,22,85,73,73,73
178,23,85,74,74,74
179,24,85,74,74,74
180,25,85,75,75,75
181,26,85,78,78,78
182,27,85,75,75,75
183,28,85,74,74,74
184,29,85,78,78,78
185,30,85,69,69,69
186,31,85,67,67,67
187,32,85,62,62,62
188,33,85,64,64,64
189,34,85,64,64,64
190,35,85,65,65,65
191,36,85,64,64,64
192,37,85,62,62,62
193,38,85,66,66,66
194,39,85,65,65,65
195,40,85,67,67,67
196,41,85,80,80,80
197,8,86,81,81,81
198,9,86,74,74,74
199,10,86,67,67,67
200,11,86,62,62,62
201,12,86,64,64,64
202,13,86,60,60,60
203,14,86,62,62,62
204,15,86,60,60,60
205,16,86,63,63,63
206,17,86,64,64,64
207,18,86,62,62,62
208,19,86,68,68,68
209,20,86,73,73,73
210,21,86,71,71,71
211,22,86,72,72,72
212,23,86,74,74,74
213,24,86,80,80,80
214,25,86,74,74,74
215,26,86,77,77,77
216,27,86,73,73,73
217,28,86,75,75,75
218,29,86,78,78,78
219,30,86,69,69,69
220,31,86,65,65,65
221,32,86,69,69,69
222,33,86,63,63,63
223,34,86,67,67,67
224,35,86,62,62,62
225,36,86,62,62,62
226,37,86,61,61,61
227,38,86,65,65,65
228,39,86,66,66,66
229,40,86,64,64,64
230,7,87,91,91,91
231,8,87,78,78,78
232,9,87,77,77,77
233,10,87,73,73,73
234,11,87,70,70,70
235,12,87,65,65,65
236,13,87,61,61,61
237,14,87,60,60,60
238,15,87,62,62,62
239,16,87,61,61,61
240,17,87,61,61,61
241,18,87,67,67,67
242,19,87,70,70,70
