 ,X,Y,Red,Green,Blue
1,33,33,120,120,120
2,34,33,109,109,109
3,35,33,93,93,93
4,36,33,96,96,96
5,37,33,95,95,95
6,38,33,97,97,97
7,39,33,93,93,93
8,40,33,98,98,98
9,41,33,93,93,93
10,42,33,93,93,93
11,43,33,94,94,94
12,44,33,91,91,91
13,45,33,92,92,92
14,46,33,94,94,94
15,47,33,97,97,97
16,32,34,110,110,110
17,33,34,88,88,88
18,34,34,76,76,76
19,35,34,71,71,71
20,36,34,71,71,71
21,37,34,74,74,74
22,38,34,80,80,80
23,39,34,80,80,80
24,40,34,83,83,83
25,41,34,80,80,80
26,42,34,80,80,80
27,43,34,79,79,79
28,44,34,83,83,83
29,45,34,82,82,82
30,46,34,83,83,83
31,31,35,107,107,107
32,32,35,91,91,91
33,33,35,76,76,76
34,34,35,71,71,71
35,35,35,69,69,69
36,36,35,64,64,64
37,37,35,75,75,75
38,38,35,75,75,75
39,39,35,77,77,77
40,40,35,81,81,81
41,41,35,76,76,76
42,42,35,79,79,79
43,43,35,80,80,80
44,44,35,80,80,80
45,45,35,82,82,82
46,30,36,105,105,105
47,31,36,89,89,89
48,32,36,77,77,77
49,33,36,76,76,76
50,34,36,72,72,72
51,35,36,67,67,67
52,36,36,67,67,67
53,37,36,67,67,67
54,38,36,73,73,73
55,39,36,74,74,74
56,40,36,80,80,80
57,41,36,75,75,75
58,42,36,75,75,75
59,43,36,83,83,83
60,44,36,80,80,80
61,29,37,100,100,100
62,30,37,88,88,88
63,31,37,82,82,82
64,32,37,74,74,74
65,33,37,74,74,74
66,34,37,69,69,69
67,35,37,69,69,69
68,36,37,62,62,62
69,37,37,71,71,71
70,38,37,73,73,73
71,39,37,78,78,78
72,40,37,79,79,79
73,41,37,78,78,78
74,42,37,78,78,78
75,43,37,83,83,83
