 ,X,Y,Red,Green,Blue
1,47,81,96,96,96
2,48,81,89,89,89
3,49,81,91,91,91
4,50,81,97,97,97
5,51,81,97,97,97
6,52,81,100,100,100
7,53,81,104,104,104
8,54,81,103,103,103
9,55,81,105,105,105
10,56,81,105,105,105
11,57,81,107,107,107
12,58,81,102,102,102
13,59,81,105,105,105
14,60,81,109,109,109
15,61,81,113,113,113
16,62,81,111,111,111
17,63,81,110,110,110
18,64,81,113,113,113
19,65,81,113,113,113
20,66,81,112,112,112
21,67,81,112,112,112
22,68,81,114,114,114
23,69,81,114,114,114
24,70,81,114,114,114
25,71,81,116,116,116
26,72,81,117,117,117
27,73,81,111,111,111
28,74,81,118,118,118
29,75,81,113,113,113
30,76,81,125,125,125
31,77,81,128,128,128
32,78,81,127,127,127
33,79,81,124,124,124
34,80,81,130,130,130
35,81,81,134,134,134
36,46,82,99,99,99
37,47,82,71,71,71
38,48,82,67,67,67
39,49,82,70,70,70
40,50,82,78,78,78
41,51,82,71,71,71
42,52,82,71,71,71
43,53,82,76,76,76
44,54,82,74,74,74
45,55,82,76,76,76
46,56,82,75,75,75
47,57,82,72,72,72
48,58,82,73,73,73
49,59,82,76,76,76
50,60,82,74,74,74
51,61,82,74,74,74
52,62,82,78,78,78
53,63,82,80,80,80
54,64,82,75,75,75
55,65,82,76,76,76
56,66,82,75,75,75
57,67,82,75,75,75
58,68,82,75,75,75
59,69,82,78,78,78
60,70,82,83,83,83
61,71,82,77,77,77
62,72,82,80,80,80
63,73,82,78,78,78
64,74,82,79,79,79
65,75,82,81,81,81
66,76,82,87,87,87
67,77,82,91,91,91
68,78,82,88,88,88
69,79,82,93,93,93
70,80,82,94,94,94
71,81,82,96,96,96
72,46,83,81,81,81
73,47,83,67,67,67
74,48,83,68,68,68
75,49,83,69,69,69
76,50,83,70,70,70
77,51,83,69,69,69
78,52,83,70,70,70
79,53,83,69,69,69
80,54,83,71,71,71
81,55,83,69,69,69
82,56,83,69,69,69
83,57,83,67,67,67
84,58,83,65,65,65
85,59,83,69,69,69
86,60,83,73,73,73
87,61,83,69,69,69
88,62,83,71,71,71
89,63,83,71,71,71
90,64,83,71,71,71
91,65,83,67,67,67
92,66,83,67,67,67
93,67,83,71,71,71
94,68,83,69,69,69
95,69,83,70,70,70
96,70,83,68,68,68
97,71,83,67,67,67
98,72,83,69,69,69
99,73,83,69,69,69
100,74,83,69,69,69
101,75,83,74,74,74
102,76,83,73,73,73
103,77,83,71,71,71
104,78,83,74,74,74
105,79,83,74,74,74
106,80,83,74,74,74
107,81,83,71,71,71
108,46,84,68,68,68
109,47,84,63,63,63
110,48,84,65,65,65
111,49,84,65,65,65
112,50,84,71,71,71
113,51,84,65,65,65
114,52,84,68,68,68
115,53,84,72,72,72
116,54,84,67,67,67
117,55,84,70,70,70
118,56,84,67,67,67
119,57,84,67,67,67
120,58,84,62,62,62
121,59,84,65,65,65
122,60,84,69,69,69
123,61,84,71,71,71
124,62,84,71,71,71
125,63,84,70,70,70
126,64,84,69,69,69
127,65,84,65,65,65
128,66,84,68,68,68
129,67,84,65,65,65
130,68,84,66,66,66
131,69,84,67,67,67
132,70,84,66,66,66
133,71,84,65,65,65
134,72,84,67,67,67
135,73,84,70,70,70
136,74,84,67,67,67
137,75,84,69,69,69
138,76,84,68,68,68
139,77,84,68,68,68
140,78,84,69,69,69
141,79,84,70,70,70
142,80,84,66,66,66
143,81,84,74,74,74
144,45,85,87,87,87
145,46,85,67,67,67
146,47,85,62,62,62
147,48,85,65,65,65
148,49,85,65,65,65
149,50,85,68,68,68
150,51,85,68,68,68
151,52,85,66,66,66
152,53,85,67,67,67
153,54,85,66,66,66
154,55,85,65,65,65
155,56,85,65,65,65
156,57,85,65,65,65
157,58,85,61,61,61
158,59,85,64,64,64
159,60,85,67,67,67
160,61,85,69,69,69
161,62,85,65,65,65
162,63,85,69,69,69
163,64,85,67,67,67
164,65,85,64,64,64
165,66,85,65,65,65
166,67,85,65,65,65
167,68,85,61,61,61
168,69,85,62,62,62
169,70,85,62,62,62
170,71,85,62,62,62
171,72,85,64,64,64
172,73,85,65,65,65
173,74,85,65,65,65
174,75,85,64,64,64
175,76,85,64,64,64
176,77,85,65,65,65
177,78,85,65,65,65
178,79,85,64,64,64
179,80,85,65,65,65
180,81,85,65,65,65
181,45,86,74,74,74
182,46,86,65,65,65
183,47,86,62,62,62
184,48,86,62,62,62
185,49,86,59,59,59
186,50,86,68,68,68
187,51,86,62,62,62
188,52,86,62,62,62
189,53,86,64,64,64
190,54,86,64,64,64
191,55,86,62,62,62
192,56,86,63,63,63
193,57,86,65,65,65
194,58,86,61,61,61
195,59,86,62,62,62
196,60,86,67,67,67
197,61,86,65,65,65
198,62,86,63,63,63
199,63,86,69,69,69
200,64,86,65,65,65
201,65,86,66,66,66
202,66,86,66,66,66
203,67,86,62,62,62
204,68,86,62,62,62
205,69,86,60,60,60
206,70,86,61,61,61
207,71,86,63,63,63
208,72,86,62,62,62
209,73,86,64,64,64
210,74,86,61,61,61
211,75,86,65,65,65
212,76,86,65,65,65
213,77,86,66,66,66
214,78,86,66,66,66
215,79,86,69,69,69
216,80,86,68,68,68
217,81,86,67,67,67
218,45,87,63,63,63
219,46,87,55,55,55
220,47,87,65,65,65
221,48,87,64,64,64
222,49,87,65,65,65
223,50,87,65,65,65
224,51,87,62,62,62
225,52,87,65,65,65
226,53,87,64,64,64
227,54,87,62,62,62
228,55,87,65,65,65
229,56,87,63,63,63
230,57,87,65,65,65
231,58,87,62,62,62
232,59,87,64,64,64
233,60,87,67,67,67
234,61,87,62,62,62
235,62,87,64,64,64
236,63,87,63,63,63
237,64,87,68,68,68
238,65,87,67,67,67
239,66,87,61,61,61
240,67,87,64,64,64
241,68,87,62,62,62
242,69,87,61,61,61
243,70,87,62,62,62
244,71,87,62,62,62
245,72,87,61,61,61
246,73,87,61,61,61
247,74,87,61,61,61
248,75,87,61,61,61
249,76,87,61,61,61
250,77,87,65,65,65
251,78,87,63,63,63
252,79,87,67,67,67
253,80,87,68,68,68
254,81,87,66,66,66
255,44,88,77,77,77
256,45,88,65,65,65
257,46,88,62,62,62
258,47,88,61,61,61
259,48,88,60,60,60
260,49,88,62,62,62
261,50,88,67,67,67
262,51,88,62,62,62
263,52,88,66,66,66
264,53,88,69,69,69
265,54,88,65,65,65
266,55,88,66,66,66
267,56,88,62,62,62
268,57,88,67,67,67
269,58,88,64,64,64
270,59,88,61,61,61
271,60,88,67,67,67
272,61,88,67,67,67
273,62,88,66,66,66
274,63,88,67,67,67
275,64,88,65,65,65
276,65,88,67,67,67
277,66,88,65,65,65
278,67,88,63,63,63
279,68,88,66,66,66
280,69,88,62,62,62
281,70,88,62,62,62
282,71,88,65,65,65
283,72,88,64,64,64
284,73,88,66,66,66
285,74,88,62,62,62
286,75,88,61,61,61
287,76,88,63,63,63
288,77,88,66,66,66
289,78,88,69,69,69
290,79,88,74,74,74
291,80,88,67,67,67
292,81,88,66,66,66
293,44,89,69,69,69
294,45,89,67,67,67
295,46,89,63,63,63
296,47,89,62,62,62
297,48,89,65,65,65
298,49,89,68,68,68
299,50,89,65,65,65
300,51,89,67,67,67
301,52,89,67,67,67
302,53,89,70,70,70
303,54,89,69,69,69
304,55,89,67,67,67
305,56,89,69,69,69
306,57,89,68,68,68
307,58,89,61,61,61
308,59,89,62,62,62
309,60,89,64,64,64
310,61,89,67,67,67
311,62,89,69,69,69
312,63,89,67,67,67
313,64,89,66,66,66
314,65,89,66,66,66
315,66,89,63,63,63
316,67,89,69,69,69
317,68,89,71,71,71
318,69,89,67,67,67
319,70,89,64,64,64
320,71,89,67,67,67
321,72,89,74,74,74
322,73,89,70,70,70
323,74,89,66,66,66
324,75,89,63,63,63
325,76,89,64,64,64
326,77,89,66,66,66
327,78,89,73,73,73
328,79,89,78,78,78
329,80,89,70,70,70
330,81,89,68,68,68
331,43,90,96,96,96
332,44,90,76,76,76
333,45,90,71,71,71
334,46,90,69,69,69
335,47,90,66,66,66
336,48,90,67,67,67
337,49,90,69,69,69
338,50,90,71,71,71
339,51,90,69,69,69
340,52,90,75,75,75
341,53,90,71,71,71
342,54,90,70,70,70
343,55,90,69,69,69
344,56,90,69,69,69
345,57,90,70,70,70
346,58,90,71,71,71
347,59,90,64,64,64
348,60,90,71,71,71
349,61,90,71,71,71
350,62,90,72,72,72
351,63,90,72,72,72
352,64,90,71,71,71
353,65,90,74,74,74
354,66,90,75,75,75
355,67,90,79,79,79
356,68,90,75,75,75
357,69,90,73,73,73
358,70,90,65,65,65
359,71,90,71,71,71
360,72,90,80,80,80
361,73,90,76,76,76
362,74,90,75,75,75
363,75,90,75,75,75
364,76,90,74,74,74
365,77,90,78,78,78
366,78,90,80,80,80
367,79,90,84,84,84
368,80,90,77,77,77
369,81,90,81,81,81
370,43,91,103,103,103
371,44,91,95,95,95
372,45,91,93,93,93
373,46,91,99,99,99
374,47,91,91,91,91
375,48,91,89,89,89
376,49,91,91,91,91
377,50,91,98,98,98
378,51,91,94,94,94
379,52,91,94,94,94
380,53,91,97,97,97
381,54,91,100,100,100
382,55,91,95,95,95
383,56,91,96,96,96
384,57,91,104,104,104
385,58,91,98,98,98
386,59,91,100,100,100
387,60,91,100,100,100
388,61,91,102,102,102
389,62,91,104,104,104
390,63,91,102,102,102
391,64,91,104,104,104
392,65,91,105,105,105
393,66,91,105,105,105
394,67,91,109,109,109
395,68,91,114,114,114
396,69,91,109,109,109
397,70,91,110,110,110
398,71,91,109,109,109
399,72,91,108,108,108
400,73,91,108,108,108
401,74,91,119,119,119
402,75,91,127,127,127
403,76,91,119,119,119
404,77,91,122,122,122
405,78,91,124,124,124
406,79,91,127,127,127
407,80,91,125,125,125
408,81,91,125,125,125
409,43,92,91,91,91
410,44,92,89,89,89
411,45,92,97,97,97
412,46,92,109,109,109
413,47,92,107,107,107
414,48,92,110,110,110
415,49,92,119,119,119
416,50,92,134,134,134
417,51,92,134,134,134
418,52,92,134,134,134
419,53,92,122,122,122
420,54,92,114,114,114
421,55,92,106,106,106
422,56,92,111,111,111
423,57,92,115,115,115
424,58,92,111,111,111
425,59,92,113,113,113
426,60,92,108,108,108
427,61,92,115,115,115
428,62,92,121,121,121
429,63,92,105,105,105
430,64,92,100,100,100
431,65,92,98,98,98
432,66,92,93,93,93
433,67,92,105,105,105
434,68,92,111,111,111
435,69,92,104,104,104
436,70,92,105,105,105
437,71,92,100,100,100
438,72,92,102,102,102
439,73,92,101,101,101
440,74,92,121,121,121
441,75,92,133,133,133
442,76,92,116,116,116
443,77,92,118,118,118
444,78,92,126,126,126
445,79,92,125,125,125
446,80,92,126,126,126
