 ,X,Y,Red,Green,Blue
1,37,48,118,118,118
2,38,48,125,125,125
3,39,48,120,120,120
4,40,48,120,120,120
5,41,48,123,123,123
6,42,48,121,121,121
7,43,48,124,124,124
8,44,48,124,124,124
9,45,48,131,131,131
10,46,48,129,129,129
11,47,48,129,129,129
12,48,48,133,133,133
13,49,48,139,139,139
14,50,48,150,150,150
15,51,48,151,151,151
16,52,48,150,150,150
17,53,48,147,147,147
18,54,48,124,124,124
19,55,48,117,117,117
20,56,48,113,113,113
21,57,48,112,112,112
22,58,48,120,120,120
23,36,49,108,108,108
24,37,49,112,112,112
25,38,49,124,124,124
26,39,49,128,128,128
27,40,49,131,131,131
28,41,49,130,130,130
29,42,49,137,137,137
30,43,49,139,139,139
31,44,49,144,144,144
32,45,49,149,149,149
33,46,49,151,151,151
34,47,49,150,150,150
35,48,49,154,154,154
36,49,49,157,157,157
37,50,49,162,162,162
38,51,49,164,164,164
39,52,49,162,162,162
40,53,49,156,156,156
41,54,49,112,112,112
42,55,49,101,101,101
43,56,49,100,100,100
44,57,49,99,99,99
45,35,50,110,110,110
46,36,50,112,112,112
47,37,50,146,146,146
48,38,50,156,156,156
49,39,50,158,158,158
50,40,50,163,163,163
51,41,50,165,165,165
52,42,50,160,160,160
53,43,50,157,157,157
54,44,50,160,160,160
55,45,50,165,165,165
56,46,50,165,165,165
57,47,50,158,158,158
58,48,50,161,161,161
59,49,50,167,167,167
60,50,50,171,171,171
61,51,50,169,169,169
62,52,50,161,161,161
63,53,50,154,154,154
64,54,50,115,115,115
65,55,50,111,111,111
66,56,50,106,106,106
67,57,50,105,105,105
68,34,51,119,119,119
69,35,51,106,106,106
70,36,51,140,140,140
71,37,51,156,156,156
72,38,51,161,161,161
73,39,51,161,161,161
74,40,51,165,165,165
75,41,51,164,164,164
76,42,51,166,166,166
77,43,51,164,164,164
78,44,51,163,163,163
79,45,51,165,165,165
80,46,51,164,164,164
81,47,51,162,162,162
82,48,51,162,162,162
83,49,51,164,164,164
84,50,51,168,168,168
85,51,51,163,163,163
86,52,51,167,167,167
87,53,51,154,154,154
88,54,51,114,114,114
89,55,51,114,114,114
90,56,51,106,106,106
91,33,52,117,117,117
92,34,52,105,105,105
93,35,52,127,127,127
94,36,52,153,153,153
95,37,52,163,163,163
96,38,52,162,162,162
97,39,52,164,164,164
98,40,52,164,164,164
99,41,52,164,164,164
100,42,52,165,165,165
101,43,52,163,163,163
102,44,52,160,160,160
103,45,52,167,167,167
104,46,52,163,163,163
105,47,52,162,162,162
106,48,52,158,158,158
107,49,52,166,166,166
108,50,52,168,168,168
109,51,52,164,164,164
110,52,52,166,166,166
111,53,52,142,142,142
112,54,52,111,111,111
113,55,52,107,107,107
114,56,52,109,109,109
115,33,53,100,100,100
116,34,53,105,105,105
117,35,53,141,141,141
118,36,53,158,158,158
119,37,53,165,165,165
120,38,53,162,162,162
121,39,53,158,158,158
122,40,53,161,161,161
123,41,53,163,163,163
124,42,53,163,163,163
125,43,53,162,162,162
126,44,53,160,160,160
127,45,53,158,158,158
128,46,53,165,165,165
129,47,53,164,164,164
130,48,53,165,165,165
131,49,53,160,160,160
132,50,53,168,168,168
133,51,53,164,164,164
134,52,53,162,162,162
135,53,53,138,138,138
136,54,53,101,101,101
137,55,53,96,96,96
138,32,54,108,108,108
139,33,54,97,97,97
140,34,54,115,115,115
141,35,54,146,146,146
142,36,54,158,158,158
143,37,54,157,157,157
144,38,54,158,158,158
145,39,54,157,157,157
146,40,54,160,160,160
147,41,54,160,160,160
148,42,54,163,163,163
149,43,54,162,162,162
150,44,54,164,164,164
151,45,54,160,160,160
152,46,54,161,161,161
153,47,54,160,160,160
154,48,54,158,158,158
155,49,54,162,162,162
156,50,54,164,164,164
157,51,54,160,160,160
158,52,54,158,158,158
159,53,54,128,128,128
160,54,54,91,91,91
161,31,55,101,101,101
162,32,55,84,84,84
163,33,55,87,87,87
164,34,55,121,121,121
165,35,55,153,153,153
166,36,55,158,158,158
167,37,55,158,158,158
168,38,55,153,153,153
169,39,55,160,160,160
170,40,55,160,160,160
171,41,55,156,156,156
172,42,55,157,157,157
173,43,55,159,159,159
174,44,55,160,160,160
175,45,55,160,160,160
176,46,55,155,155,155
177,47,55,162,162,162
178,48,55,161,161,161
179,49,55,158,158,158
180,50,55,163,163,163
181,51,55,158,158,158
182,52,55,157,157,157
183,53,55,114,114,114
184,54,55,91,91,91
185,30,56,101,101,101
186,31,56,80,80,80
187,32,56,82,82,82
188,33,56,89,89,89
189,34,56,138,138,138
190,35,56,156,156,156
191,36,56,156,156,156
192,37,56,154,154,154
193,38,56,158,158,158
194,39,56,158,158,158
195,40,56,164,164,164
196,41,56,156,156,156
197,42,56,160,160,160
198,43,56,159,159,159
199,44,56,155,155,155
200,45,56,158,158,158
201,46,56,158,158,158
202,47,56,156,156,156
203,48,56,158,158,158
204,49,56,158,158,158
205,50,56,162,162,162
206,51,56,159,159,159
207,52,56,153,153,153
208,53,56,105,105,105
209,29,57,112,112,112
210,30,57,85,85,85
211,31,57,80,80,80
212,32,57,80,80,80
213,33,57,111,111,111
214,34,57,150,150,150
215,35,57,158,158,158
216,36,57,156,156,156
217,37,57,154,154,154
218,38,57,156,156,156
219,39,57,160,160,160
220,40,57,155,155,155
221,41,57,153,153,153
222,42,57,156,156,156
223,43,57,153,153,153
224,44,57,153,153,153
225,45,57,154,154,154
226,46,57,154,154,154
227,47,57,153,153,153
228,48,57,152,152,152
229,49,57,152,152,152
230,50,57,151,151,151
231,51,57,149,149,149
232,52,57,138,138,138
233,53,57,100,100,100
234,28,58,121,121,121
235,29,58,86,86,86
236,30,58,80,80,80
237,31,58,79,79,79
238,32,58,84,84,84
239,33,58,122,122,122
240,34,58,154,154,154
241,35,58,153,153,153
242,36,58,145,145,145
243,37,58,144,144,144
244,38,58,143,143,143
245,39,58,145,145,145
246,40,58,142,142,142
247,41,58,134,134,134
248,42,58,132,132,132
249,43,58,131,131,131
250,44,58,127,127,127
251,45,58,125,125,125
252,46,58,116,116,116
253,47,58,112,112,112
254,48,58,106,106,106
255,49,58,101,101,101
256,50,58,100,100,100
257,51,58,94,94,94
258,52,58,91,91,91
