 ,X,Y,Red,Green,Blue
1,87,32,133,133,133
2,88,32,120,120,120
3,89,32,112,112,112
4,90,32,112,112,112
5,91,32,115,115,115
6,92,32,120,120,120
7,93,32,125,125,125
8,94,32,129,129,129
9,95,32,126,126,126
10,96,32,132,132,132
11,97,32,133,133,133
12,98,32,134,134,134
13,99,32,140,140,140
14,100,32,137,137,137
15,101,32,137,137,137
16,102,32,125,125,125
17,87,33,116,116,116
18,88,33,101,101,101
19,89,33,101,101,101
20,90,33,102,102,102
21,91,33,114,114,114
22,92,33,143,143,143
23,93,33,142,142,142
24,94,33,146,146,146
25,95,33,146,146,146
26,96,33,149,149,149
27,97,33,150,150,150
28,98,33,150,150,150
29,99,33,150,150,150
30,100,33,146,146,146
31,101,33,150,150,150
32,102,33,134,134,134
33,103,33,99,99,99
34,87,34,112,112,112
35,88,34,101,101,101
36,89,34,104,104,104
37,90,34,109,109,109
38,91,34,111,111,111
39,92,34,145,145,145
40,93,34,149,149,149
41,94,34,156,156,156
42,95,34,154,154,154
43,96,34,154,154,154
44,97,34,154,154,154
45,98,34,152,152,152
46,99,34,151,151,151
47,100,34,150,150,150
48,101,34,146,146,146
49,102,34,142,142,142
50,103,34,111,111,111
51,87,35,114,114,114
52,88,35,104,104,104
53,89,35,100,100,100
54,90,35,108,108,108
55,91,35,105,105,105
56,92,35,137,137,137
57,93,35,151,151,151
58,94,35,153,153,153
59,95,35,154,154,154
60,96,35,153,153,153
61,97,35,150,150,150
62,98,35,152,152,152
63,99,35,153,153,153
64,100,35,150,150,150
65,101,35,151,151,151
66,102,35,144,144,144
67,103,35,133,133,133
68,104,35,104,104,104
69,87,36,122,122,122
70,88,36,116,116,116
71,89,36,101,101,101
72,90,36,99,99,99
73,91,36,102,102,102
74,92,36,126,126,126
75,93,36,151,151,151
76,94,36,153,153,153
77,95,36,151,151,151
78,96,36,149,149,149
79,97,36,149,149,149
80,98,36,149,149,149
81,99,36,149,149,149
82,100,36,148,148,148
83,101,36,145,145,145
84,102,36,145,145,145
85,103,36,145,145,145
86,104,36,122,122,122
87,87,37,117,117,117
88,88,37,116,116,116
89,89,37,104,104,104
90,90,37,103,103,103
91,91,37,104,104,104
92,92,37,122,122,122
93,93,37,144,144,144
94,94,37,149,149,149
95,95,37,143,143,143
96,96,37,142,142,142
97,97,37,141,141,141
98,98,37,143,143,143
99,99,37,138,138,138
100,100,37,140,140,140
101,101,37,138,138,138
102,102,37,139,139,139
103,103,37,136,136,136
104,104,37,130,130,130
105,105,37,108,108,108
