 ,X,Y,Red,Green,Blue
1,55,61,122,122,122
2,56,61,105,105,105
3,57,61,105,105,105
4,58,61,104,104,104
5,59,61,105,105,105
6,60,61,109,109,109
7,61,61,107,107,107
8,62,61,105,105,105
9,63,61,107,107,107
10,64,61,108,108,108
11,65,61,108,108,108
12,66,61,114,114,114
13,67,61,110,110,110
14,68,61,112,112,112
15,69,61,115,115,115
16,70,61,116,116,116
17,71,61,114,114,114
18,72,61,114,114,114
19,73,61,118,118,118
20,74,61,113,113,113
21,75,61,116,116,116
22,76,61,120,120,120
23,77,61,112,112,112
24,78,61,110,110,110
25,79,61,108,108,108
26,80,61,108,108,108
27,81,61,109,109,109
28,82,61,112,112,112
29,83,61,120,120,120
30,54,62,137,137,137
31,55,62,91,91,91
32,56,62,78,78,78
33,57,62,80,80,80
34,58,62,81,81,81
35,59,62,83,83,83
36,60,62,87,87,87
37,61,62,90,90,90
38,62,62,85,85,85
39,63,62,88,88,88
40,64,62,89,89,89
41,65,62,94,94,94
42,66,62,97,97,97
43,67,62,105,105,105
44,68,62,101,101,101
45,69,62,105,105,105
46,70,62,108,108,108
47,71,62,111,111,111
48,72,62,115,115,115
49,73,62,114,114,114
50,74,62,118,118,118
51,75,62,119,119,119
52,76,62,118,118,118
53,77,62,86,86,86
54,78,62,78,78,78
55,79,62,76,76,76
56,80,62,78,78,78
57,81,62,77,77,77
58,82,62,77,77,77
59,83,62,89,89,89
60,54,63,118,118,118
61,55,63,83,83,83
62,56,63,101,101,101
63,57,63,118,118,118
64,58,63,117,117,117
65,59,63,122,122,122
66,60,63,124,124,124
67,61,63,122,122,122
68,62,63,124,124,124
69,63,63,134,134,134
70,64,63,131,131,131
71,65,63,132,132,132
72,66,63,137,137,137
73,67,63,137,137,137
74,68,63,141,141,141
75,69,63,141,141,141
76,70,63,142,142,142
77,71,63,141,141,141
78,72,63,141,141,141
79,73,63,143,143,143
80,74,63,145,145,145
81,75,63,145,145,145
82,76,63,130,130,130
83,77,63,91,91,91
84,78,63,73,73,73
85,79,63,75,75,75
86,80,63,72,72,72
87,81,63,70,70,70
88,82,63,70,70,70
89,83,63,88,88,88
90,53,64,139,139,139
91,54,64,97,97,97
92,55,64,80,80,80
93,56,64,126,126,126
94,57,64,142,142,142
95,58,64,141,141,141
96,59,64,143,143,143
97,60,64,146,146,146
98,61,64,146,146,146
99,62,64,142,142,142
100,63,64,143,143,143
101,64,64,140,140,140
102,65,64,145,145,145
103,66,64,145,145,145
104,67,64,143,143,143
105,68,64,146,146,146
106,69,64,146,146,146
107,70,64,147,147,147
108,71,64,146,146,146
109,72,64,145,145,145
110,73,64,144,144,144
111,74,64,143,143,143
112,75,64,145,145,145
113,76,64,133,133,133
114,77,64,86,86,86
115,78,64,74,74,74
116,79,64,73,73,73
117,80,64,67,67,67
118,81,64,70,70,70
119,82,64,68,68,68
120,83,64,88,88,88
121,53,65,125,125,125
122,54,65,84,84,84
123,55,65,84,84,84
124,56,65,130,130,130
125,57,65,146,146,146
126,58,65,144,144,144
127,59,65,146,146,146
128,60,65,146,146,146
129,61,65,145,145,145
130,62,65,145,145,145
131,63,65,146,146,146
132,64,65,147,147,147
133,65,65,148,148,148
134,66,65,146,146,146
135,67,65,143,143,143
136,68,65,149,149,149
137,69,65,145,145,145
138,70,65,145,145,145
139,71,65,145,145,145
140,72,65,145,145,145
141,73,65,144,144,144
142,74,65,142,142,142
143,75,65,144,144,144
144,76,65,134,134,134
145,77,65,91,91,91
146,78,65,73,73,73
147,79,65,71,71,71
148,80,65,74,74,74
149,81,65,74,74,74
150,82,65,75,75,75
151,83,65,94,94,94
152,53,66,111,111,111
153,54,66,72,72,72
154,55,66,87,87,87
155,56,66,134,134,134
156,57,66,141,141,141
157,58,66,147,147,147
158,59,66,145,145,145
159,60,66,146,146,146
160,61,66,146,146,146
161,62,66,149,149,149
162,63,66,146,146,146
163,64,66,144,144,144
164,65,66,144,144,144
165,66,66,145,145,145
166,67,66,145,145,145
167,68,66,151,151,151
168,69,66,146,146,146
169,70,66,146,146,146
170,71,66,147,147,147
171,72,66,144,144,144
172,73,66,147,147,147
173,74,66,142,142,142
174,75,66,142,142,142
175,76,66,134,134,134
176,77,66,97,97,97
177,78,66,77,77,77
178,79,66,74,74,74
179,80,66,74,74,74
180,81,66,75,75,75
181,82,66,75,75,75
182,83,66,105,105,105
183,52,67,134,134,134
184,53,67,91,91,91
185,54,67,71,71,71
186,55,67,96,96,96
187,56,67,138,138,138
188,57,67,147,147,147
189,58,67,146,146,146
190,59,67,146,146,146
191,60,67,145,145,145
192,61,67,149,149,149
193,62,67,142,142,142
194,63,67,147,147,147
195,64,67,146,146,146
196,65,67,146,146,146
197,66,67,146,146,146
198,67,67,142,142,142
199,68,67,146,146,146
200,69,67,146,146,146
201,70,67,149,149,149
202,71,67,143,143,143
203,72,67,146,146,146
204,73,67,144,144,144
205,74,67,145,145,145
206,75,67,142,142,142
207,76,67,134,134,134
208,77,67,94,94,94
209,78,67,77,77,77
210,79,67,74,74,74
211,80,67,75,75,75
212,81,67,75,75,75
213,82,67,74,74,74
214,83,67,106,106,106
215,52,68,120,120,120
216,53,68,77,77,77
217,54,68,73,73,73
218,55,68,108,108,108
219,56,68,141,141,141
220,57,68,146,146,146
221,58,68,146,146,146
222,59,68,145,145,145
223,60,68,143,143,143
224,61,68,145,145,145
225,62,68,143,143,143
226,63,68,145,145,145
227,64,68,143,143,143
228,65,68,147,147,147
229,66,68,148,148,148
230,67,68,149,149,149
231,68,68,146,146,146
232,69,68,144,144,144
233,70,68,146,146,146
234,71,68,148,148,148
235,72,68,143,143,143
236,73,68,146,146,146
237,74,68,142,142,142
238,75,68,143,143,143
239,76,68,135,135,135
240,77,68,100,100,100
241,78,68,77,77,77
242,79,68,74,74,74
243,80,68,72,72,72
244,81,68,74,74,74
245,82,68,73,73,73
246,83,68,102,102,102
247,51,69,137,137,137
248,52,69,96,96,96
249,53,69,74,74,74
250,54,69,77,77,77
251,55,69,117,117,117
252,56,69,141,141,141
253,57,69,147,147,147
254,58,69,146,146,146
255,59,69,146,146,146
256,60,69,146,146,146
257,61,69,146,146,146
258,62,69,146,146,146
259,63,69,146,146,146
260,64,69,143,143,143
261,65,69,144,144,144
262,66,69,148,148,148
263,67,69,147,147,147
264,68,69,148,148,148
265,69,69,145,145,145
266,70,69,149,149,149
267,71,69,146,146,146
268,72,69,145,145,145
269,73,69,147,147,147
270,74,69,146,146,146
271,75,69,142,142,142
272,76,69,137,137,137
273,77,69,104,104,104
274,78,69,76,76,76
275,79,69,73,73,73
276,80,69,75,75,75
277,81,69,72,72,72
278,82,69,73,73,73
279,83,69,104,104,104
280,51,70,125,125,125
281,52,70,80,80,80
282,53,70,72,72,72
283,54,70,78,78,78
284,55,70,128,128,128
285,56,70,141,141,141
286,57,70,146,146,146
287,58,70,146,146,146
288,59,70,145,145,145
289,60,70,148,148,148
290,61,70,146,146,146
291,62,70,143,143,143
292,63,70,148,148,148
293,64,70,142,142,142
294,65,70,145,145,145
295,66,70,145,145,145
296,67,70,145,145,145
297,68,70,145,145,145
298,69,70,150,150,150
299,70,70,145,145,145
300,71,70,146,146,146
301,72,70,143,143,143
302,73,70,146,146,146
303,74,70,144,144,144
304,75,70,145,145,145
305,76,70,138,138,138
306,77,70,102,102,102
307,78,70,82,82,82
308,79,70,77,77,77
309,80,70,75,75,75
310,81,70,76,76,76
311,82,70,73,73,73
312,50,71,142,142,142
313,51,71,100,100,100
314,52,71,69,69,69
315,53,71,71,71,71
316,54,71,89,89,89
317,55,71,133,133,133
318,56,71,142,142,142
319,57,71,146,146,146
320,58,71,143,143,143
321,59,71,144,144,144
322,60,71,146,146,146
323,61,71,141,141,141
324,62,71,145,145,145
325,63,71,144,144,144
326,64,71,145,145,145
327,65,71,143,143,143
328,66,71,142,142,142
329,67,71,141,141,141
330,68,71,143,143,143
331,69,71,143,143,143
332,70,71,142,142,142
333,71,71,146,146,146
