 ,X,Y,Red,Green,Blue
1,61,48,129,129,129
2,62,48,114,114,114
3,63,48,114,114,114
4,64,48,123,123,123
5,65,48,129,129,129
6,66,48,135,135,135
7,67,48,141,141,141
8,68,48,137,137,137
9,69,48,138,138,138
10,70,48,134,134,134
11,71,48,134,134,134
12,72,48,138,138,138
13,73,48,142,142,142
14,74,48,146,146,146
15,75,48,150,150,150
16,76,48,150,150,150
17,77,48,146,146,146
18,78,48,148,148,148
19,79,48,144,144,144
20,80,48,148,148,148
21,81,48,142,142,142
22,82,48,149,149,149
23,83,48,153,153,153
24,60,49,139,139,139
25,61,49,106,106,106
26,62,49,101,101,101
27,63,49,103,103,103
28,64,49,141,141,141
29,65,49,152,152,152
30,66,49,154,154,154
31,67,49,157,157,157
32,68,49,154,154,154
33,69,49,155,155,155
34,70,49,154,154,154
35,71,49,158,158,158
36,72,49,160,160,160
37,73,49,160,160,160
38,74,49,160,160,160
39,75,49,166,166,166
40,76,49,164,164,164
41,77,49,165,165,165
42,78,49,163,163,163
43,79,49,160,160,160
44,80,49,156,156,156
45,81,49,149,149,149
46,82,49,145,145,145
47,83,49,137,137,137
48,60,50,126,126,126
49,61,50,103,103,103
50,62,50,103,103,103
51,63,50,120,120,120
52,64,50,153,153,153
53,65,50,159,159,159
54,66,50,163,163,163
55,67,50,159,159,159
56,68,50,160,160,160
57,69,50,163,163,163
58,70,50,161,161,161
59,71,50,160,160,160
60,72,50,162,162,162
61,73,50,164,164,164
62,74,50,168,168,168
63,75,50,169,169,169
64,76,50,168,168,168
65,77,50,173,173,173
66,78,50,166,166,166
67,79,50,158,158,158
68,80,50,145,145,145
69,81,50,131,131,131
70,82,50,136,136,136
71,83,50,138,138,138
72,59,51,140,140,140
73,60,51,103,103,103
74,61,51,105,105,105
75,62,51,115,115,115
76,63,51,142,142,142
77,64,51,157,157,157
78,65,51,158,158,158
79,66,51,160,160,160
80,67,51,158,158,158
81,68,51,163,163,163
82,69,51,161,161,161
83,70,51,159,159,159
84,71,51,166,166,166
85,72,51,164,164,164
86,73,51,168,168,168
87,74,51,170,170,170
88,75,51,170,170,170
89,76,51,176,176,176
90,77,51,168,168,168
91,78,51,167,167,167
92,79,51,161,161,161
93,80,51,137,137,137
94,81,51,129,129,129
95,82,51,140,140,140
96,83,51,139,139,139
97,59,52,126,126,126
98,60,52,97,97,97
99,61,52,99,99,99
100,62,52,118,118,118
101,63,52,148,148,148
102,64,52,155,155,155
103,65,52,154,154,154
104,66,52,157,157,157
105,67,52,156,156,156
106,68,52,159,159,159
107,69,52,156,156,156
108,70,52,160,160,160
109,71,52,161,161,161
110,72,52,165,165,165
111,73,52,171,171,171
112,74,52,171,171,171
113,75,52,168,168,168
114,76,52,171,171,171
115,77,52,171,171,171
116,78,52,166,166,166
117,79,52,155,155,155
118,80,52,128,128,128
119,81,52,124,124,124
120,82,52,138,138,138
121,83,52,141,141,141
122,58,53,145,145,145
123,59,53,109,109,109
124,60,53,89,89,89
125,61,53,99,99,99
126,62,53,130,130,130
127,63,53,154,154,154
128,64,53,156,156,156
129,65,53,157,157,157
130,66,53,159,159,159
131,67,53,157,157,157
132,68,53,162,162,162
133,69,53,160,160,160
134,70,53,159,159,159
135,71,53,164,164,164
136,72,53,164,164,164
137,73,53,168,168,168
138,74,53,168,168,168
139,75,53,164,164,164
140,76,53,165,165,165
141,77,53,164,164,164
142,78,53,162,162,162
143,79,53,150,150,150
144,80,53,120,120,120
145,81,53,126,126,126
146,82,53,134,134,134
147,83,53,134,134,134
148,57,54,153,153,153
149,58,54,137,137,137
150,59,54,93,93,93
151,60,54,86,86,86
152,61,54,107,107,107
153,62,54,147,147,147
154,63,54,155,155,155
155,64,54,156,156,156
156,65,54,158,158,158
157,66,54,160,160,160
158,67,54,158,158,158
159,68,54,160,160,160
160,69,54,161,161,161
161,70,54,160,160,160
162,71,54,162,162,162
163,72,54,163,163,163
164,73,54,164,164,164
165,74,54,160,160,160
166,75,54,160,160,160
167,76,54,162,162,162
168,77,54,158,158,158
169,78,54,155,155,155
170,79,54,141,141,141
171,80,54,119,119,119
172,81,54,125,125,125
173,82,54,129,129,129
174,83,54,130,130,130
175,57,55,140,140,140
176,58,55,108,108,108
177,59,55,90,90,90
178,60,55,91,91,91
179,61,55,129,129,129
180,62,55,149,149,149
181,63,55,156,156,156
182,64,55,156,156,156
183,65,55,154,154,154
184,66,55,156,156,156
185,67,55,157,157,157
186,68,55,153,153,153
187,69,55,163,163,163
188,70,55,162,162,162
189,71,55,160,160,160
190,72,55,159,159,159
191,73,55,157,157,157
192,74,55,156,156,156
193,75,55,156,156,156
194,76,55,159,159,159
195,77,55,154,154,154
196,78,55,158,158,158
197,79,55,136,136,136
198,80,55,117,117,117
199,81,55,120,120,120
200,82,55,126,126,126
201,83,55,126,126,126
202,56,56,145,145,145
203,57,56,124,124,124
204,58,56,95,95,95
205,59,56,89,89,89
206,60,56,111,111,111
207,61,56,148,148,148
208,62,56,154,154,154
209,63,56,157,157,157
210,64,56,156,156,156
211,65,56,156,156,156
212,66,56,155,155,155
213,67,56,154,154,154
214,68,56,155,155,155
215,69,56,160,160,160
216,70,56,161,161,161
217,71,56,158,158,158
218,72,56,157,157,157
219,73,56,157,157,157
220,74,56,154,154,154
221,75,56,156,156,156
222,76,56,157,157,157
223,77,56,154,154,154
224,78,56,150,150,150
225,79,56,123,123,123
226,80,56,112,112,112
227,81,56,113,113,113
228,82,56,117,117,117
229,83,56,125,125,125
230,56,57,140,140,140
231,57,57,100,100,100
232,58,57,83,83,83
233,59,57,87,87,87
234,60,57,126,126,126
235,61,57,154,154,154
236,62,57,158,158,158
237,63,57,156,156,156
238,64,57,154,154,154
239,65,57,154,154,154
240,66,57,156,156,156
241,67,57,153,153,153
242,68,57,154,154,154
243,69,57,158,158,158
244,70,57,160,160,160
245,71,57,156,156,156
246,72,57,158,158,158
247,73,57,157,157,157
248,74,57,152,152,152
249,75,57,156,156,156
250,76,57,155,155,155
251,77,57,154,154,154
252,78,57,148,148,148
253,79,57,121,121,121
254,80,57,109,109,109
255,81,57,111,111,111
256,82,57,119,119,119
257,83,57,128,128,128
258,55,58,148,148,148
259,56,58,126,126,126
260,57,58,88,88,88
261,58,58,81,81,81
262,59,58,91,91,91
263,60,58,125,125,125
264,61,58,145,145,145
265,62,58,149,149,149
266,63,58,146,146,146
267,64,58,143,143,143
268,65,58,147,147,147
269,66,58,148,148,148
270,67,58,144,144,144
271,68,58,143,143,143
272,69,58,145,145,145
273,70,58,149,149,149
274,71,58,148,148,148
275,72,58,148,148,148
276,73,58,146,146,146
277,74,58,146,146,146
278,75,58,145,145,145
279,76,58,149,149,149
280,77,58,142,142,142
281,78,58,128,128,128
282,79,58,109,109,109
283,80,58,108,108,108
284,81,58,113,113,113
285,82,58,108,108,108
286,83,58,112,112,112
